dataset,task_order,policy,seed,extra_judge_runs,criterion_errors_found,certified_tasks,residual_fp,residual_ff,introduced_fp,fixed_initial_fp,fixed_initial_ff,tasks_touched,new_fp_events,certified_initial_ff,budget_share,budget_cap,actual_queries,n_tasks,n_criteria,primary_criterion_errors,initial_task_errors,residual_errors,uncertified_tasks,unused_budget,gated_residual_fp,gated_residual_ff,gated_residual_errors,delayed_ff_corrections
AC Qwen-plus,release,sc_natural,0,0,20,66,21,8,0,10,2,67,1,2,0.2,169,169,210,843,102,41,29,144,0,21,8,29,0
AC Qwen-plus,release,sc_random,0,0,21,64,21,8,0,10,2,65,1,2,0.2,169,169,210,843,102,41,29,146,0,21,8,29,0
AC Qwen-plus,release,sc_judge,0,0,18,74,20,8,0,11,2,74,1,2,0.2,169,169,210,843,102,41,28,136,0,20,8,28,0
AC Qwen-plus,release,disagreement_only,0,1,66,40,11,4,1,21,6,74,1,0,0.2,169,95,210,843,102,41,15,170,74,10,10,20,6
AC Qwen-plus,release,disagreement_then_random,0,1,68,45,10,4,1,22,6,116,1,0,0.2,169,169,210,843,102,41,14,165,0,9,10,19,6
AC Qwen-plus,release,sc_disagreement,0,1,22,76,20,8,0,11,2,77,0,2,0.2,169,169,210,843,102,41,28,134,0,20,8,28,0
AC Qwen-plus,predicted_fail_count,random_criterion,0,0,28,34,21,7,1,11,3,122,1,0,0.2,169,169,210,843,102,41,28,176,0,20,10,30,3
AC Qwen-plus,predicted_fail_count,sc_natural,0,0,11,61,20,10,0,11,0,62,0,0,0.2,169,169,210,843,102,41,30,149,0,20,10,30,0
AC Qwen-plus,predicted_fail_count,sc_random,0,0,11,61,20,10,0,11,0,62,0,0,0.2,169,169,210,843,102,41,30,149,0,20,10,30,0
AC Qwen-plus,predicted_fail_count,sc_judge,0,0,11,61,20,10,0,11,0,62,0,0,0.2,169,169,210,843,102,41,30,149,0,20,10,30,0
AC Qwen-plus,predicted_fail_count,disagreement_only,0,1,66,40,11,4,1,21,6,74,1,0,0.2,169,95,210,843,102,41,15,170,74,10,10,20,6
AC Qwen-plus,predicted_fail_count,disagreement_then_random,0,1,68,45,10,4,1,22,6,116,1,0,0.2,169,169,210,843,102,41,14,165,0,9,10,19,6
AC Qwen-plus,predicted_fail_count,sc_disagreement,0,1,12,62,19,10,0,12,0,63,0,0,0.2,169,169,210,843,102,41,29,148,0,19,10,29,0
AC Qwen-plus,random,random_criterion,0,0,28,34,21,7,1,11,3,122,1,0,0.2,169,169,210,843,102,41,28,176,0,20,10,30,3
AC Qwen-plus,random,sc_natural,0,0,19,57,20,7,0,11,3,58,0,3,0.2,169,169,210,843,102,41,27,153,0,20,7,27,0
AC Qwen-plus,random,sc_random,0,0,21,58,20,7,0,11,3,58,0,3,0.2,169,169,210,843,102,41,27,152,0,20,7,27,0
AC Qwen-plus,random,sc_judge,0,0,17,67,19,6,0,12,4,67,0,4,0.2,169,169,210,843,102,41,25,143,0,19,6,25,0
AC Qwen-plus,random,disagreement_only,0,1,66,40,11,4,1,21,6,74,1,0,0.2,169,95,210,843,102,41,15,170,74,10,10,20,6
AC Qwen-plus,random,disagreement_then_random,0,1,68,45,10,4,1,22,6,116,1,0,0.2,169,169,210,843,102,41,14,165,0,9,10,19,6
AC Qwen-plus,random,sc_disagreement,0,1,25,71,17,6,0,14,4,72,0,4,0.2,169,169,210,843,102,41,23,139,0,17,6,23,0
AC DeepSeek v4-pro,release,random_criterion,0,0,10,34,10,14,0,4,2,122,0,0,0.2,169,169,210,843,65,30,24,176,0,10,16,26,2
AC DeepSeek v4-pro,release,sc_natural,0,0,8,66,10,15,0,4,1,67,0,1,0.2,169,169,210,843,65,30,25,144,0,10,15,25,0
AC DeepSeek v4-pro,release,sc_random,0,0,11,64,10,15,0,4,1,65,0,1,0.2,169,169,210,843,65,30,25,146,0,10,15,25,0
AC DeepSeek v4-pro,release,sc_judge,0,0,9,76,8,14,0,6,2,77,0,2,0.2,169,169,210,843,65,30,22,134,0,8,14,22,0
AC DeepSeek v4-pro,release,disagreement_only,0,1,29,40,11,4,1,4,12,74,1,0,0.2,169,95,210,843,65,30,15,170,74,10,16,26,12
AC DeepSeek v4-pro,release,disagreement_then_random,0,1,31,45,10,4,1,5,12,116,1,0,0.2,169,169,210,843,65,30,14,165,0,9,16,25,12
AC DeepSeek v4-pro,release,sc_disagreement,0,1,10,76,8,14,0,6,2,77,0,2,0.2,169,169,210,843,65,30,22,134,0,8,14,22,0
AC DeepSeek v4-pro,predicted_fail_count,random_criterion,0,0,10,34,10,14,0,4,2,122,0,0,0.2,169,169,210,843,65,30,24,176,0,10,16,26,2
AC DeepSeek v4-pro,predicted_fail_count,sc_natural,0,0,9,58,5,16,0,9,0,59,0,0,0.2,169,169,210,843,65,30,21,152,0,5,16,21,0
AC DeepSeek v4-pro,predicted_fail_count,sc_random,0,0,9,58,5,16,0,9,0,59,0,0,0.2,169,169,210,843,65,30,21,152,0,5,16,21,0
AC DeepSeek v4-pro,predicted_fail_count,sc_judge,0,0,9,58,5,16,0,9,0,59,0,0,0.2,169,169,210,843,65,30,21,152,0,5,16,21,0
AC DeepSeek v4-pro,predicted_fail_count,disagreement_only,0,1,29,40,11,4,1,4,12,74,1,0,0.2,169,95,210,843,65,30,15,170,74,10,16,26,12
AC DeepSeek v4-pro,predicted_fail_count,disagreement_then_random,0,1,31,45,10,4,1,5,12,116,1,0,0.2,169,169,210,843,65,30,14,165,0,9,16,25,12
AC DeepSeek v4-pro,predicted_fail_count,sc_disagreement,0,1,9,59,5,16,0,9,0,60,0,0,0.2,169,169,210,843,65,30,21,151,0,5,16,21,0
AC DeepSeek v4-pro,random,random_criterion,0,0,10,34,10,14,0,4,2,122,0,0,0.2,169,169,210,843,65,30,24,176,0,10,16,26,2
AC DeepSeek v4-pro,random,sc_natural,0,0,5,57,12,14,0,2,2,58,0,2,0.2,169,169,210,843,65,30,26,153,0,12,14,26,0
AC DeepSeek v4-pro,random,sc_random,0,0,9,58,12,14,0,2,2,58,0,2,0.2,169,169,210,843,65,30,26,152,0,12,14,26,0
AC DeepSeek v4-pro,random,sc_judge,0,0,8,72,11,14,0,3,2,73,1,2,0.2,169,169,210,843,65,30,25,138,0,11,14,25,0
AC DeepSeek v4-pro,random,disagreement_only,0,1,29,40,11,4,1,4,12,74,1,0,0.2,169,95,210,843,65,30,15,170,74,10,16,26,12
AC DeepSeek v4-pro,random,disagreement_then_random,0,1,31,45,10,4,1,5,12,116,1,0,0.2,169,169,210,843,65,30,14,165,0,9,16,25,12
AC DeepSeek v4-pro,random,sc_disagreement,0,1,9,71,11,14,0,3,2,72,1,2,0.2,169,169,210,843,65,30,25,139,0,11,14,25,0
DR GPT-5.4 low,release,random_criterion,0,0,29,129,7,1,0,1,1,173,0,0,0.2,323,323,284,1615,124,10,8,155,0,7,2,9,1
DR GPT-5.4 low,release,sc_natural,0,0,25,191,3,1,0,5,1,192,0,1,0.2,323,323,284,1615,124,10,4,93,0,3,1,4,0
DR GPT-5.4 low,release,sc_random,0,0,25,199,2,1,0,6,1,200,0,1,0.2,323,323,284,1615,124,10,3,85,0,2,1,3,0
DR GPT-5.4 low,release,sc_judge,0,0,14,277,0,0,0,8,2,277,0,2,0.2,323,323,284,1615,124,10,0,7,0,0,0,0,0
DR GPT-5.4 low,release,disagreement_only,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,124,10,1,124,1,1,2,3,2
DR GPT-5.4 low,release,disagreement_then_random,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,124,10,1,124,0,1,2,3,2
DR GPT-5.4 low,release,sc_disagreement,0,2,53,263,1,0,0,7,2,263,0,2,0.2,323,323,284,1615,124,10,1,21,0,1,0,1,0
DR GPT-5.4 low,predicted_fail_count,random_criterion,0,0,29,129,7,1,0,1,1,173,0,0,0.2,323,323,284,1615,124,10,8,155,0,7,2,9,1
DR GPT-5.4 low,predicted_fail_count,sc_natural,0,0,32,182,0,0,0,8,2,182,0,2,0.2,323,323,284,1615,124,10,0,102,0,0,0,0,0
DR GPT-5.4 low,predicted_fail_count,sc_random,0,0,28,185,0,0,0,8,2,186,0,2,0.2,323,323,284,1615,124,10,0,99,0,0,0,0,0
DR GPT-5.4 low,predicted_fail_count,sc_judge,0,0,15,271,0,0,0,8,2,271,0,2,0.2,323,323,284,1615,124,10,0,13,0,0,0,0,0
DR GPT-5.4 low,predicted_fail_count,disagreement_only,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,124,10,1,124,1,1,2,3,2
DR GPT-5.4 low,predicted_fail_count,disagreement_then_random,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,124,10,1,124,0,1,2,3,2
DR GPT-5.4 low,predicted_fail_count,sc_disagreement,0,2,51,252,0,0,0,8,2,252,0,2,0.2,323,323,284,1615,124,10,0,32,0,0,0,0,0
DR GPT-5.4 low,random,random_criterion,0,0,29,129,7,1,0,1,1,173,0,0,0.2,323,323,284,1615,124,10,8,155,0,7,2,9,1
DR GPT-5.4 low,random,sc_natural,0,0,29,189,1,1,0,7,1,189,0,1,0.2,323,323,284,1615,124,10,2,95,0,1,1,2,0
DR GPT-5.4 low,random,sc_random,0,0,24,196,1,1,0,7,1,197,0,1,0.2,323,323,284,1615,124,10,2,88,0,1,1,2,0
DR GPT-5.4 low,random,sc_judge,0,0,15,272,0,0,0,8,2,272,0,2,0.2,323,323,284,1615,124,10,0,12,0,0,0,0,0
DR GPT-5.4 low,random,disagreement_only,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,322,284,1615,124,10,1,124,1,1,2,3,2
DR GPT-5.4 low,random,disagreement_then_random,0,2,87,160,1,0,0,7,2,183,0,0,0.2,323,323,284,1615,124,10,1,124,0,1,2,3,2
DR GPT-5.4 low,random,sc_disagreement,0,2,55,255,1,0,0,7,2,255,0,2,0.2,323,323,284,1615,124,10,1,29,0,1,0,1,0
JB GPT-5.4,release,random_criterion,0,0,1062,789,36,195,18,6,25,1399,23,0,0.2,4697,4697,1539,23487,5655,244,231,750,0,18,220,238,25
JB GPT-5.4,release,sc_natural,0,0,713,908,13,108,0,11,112,909,0,112,0.2,4697,4697,1539,23487,5655,244,121,631,0,13,108,121,0
JB GPT-5.4,release,sc_random,0,0,1016,1185,5,74,0,19,146,1186,43,146,0.2,4697,4697,1539,23487,5655,244,79,354,0,5,74,79,0
JB GPT-5.4,release,sc_judge,0,0,1260,1519,0,10,0,24,210,1520,178,209,0.2,4697,4697,1539,23487,5655,244,10,20,0,0,11,11,1
JB GPT-5.4,release,disagreement_only,0,1,1217,739,27,218,5,2,2,1210,5,0,0.2,4697,4316,1539,23487,5655,244,245,800,381,22,220,242,2
JB GPT-5.4,release,disagreement_then_random,0,1,1306,786,28,211,6,2,9,1288,6,0,0.2,4697,4697,1539,23487,5655,244,239,753,0,22,220,242,9
JB GPT-5.4,release,sc_disagreement,0,1,1257,1489,0,21,0,24,199,1490,157,198,0.2,4697,4697,1539,23487,5655,244,21,50,0,0,22,22,1
JB GPT-5.4,predicted_fail_count,random_criterion,0,0,1062,789,36,195,18,6,25,1399,23,0,0.2,4697,4697,1539,23487,5655,244,231,750,0,18,220,238,25
JB GPT-5.4,predicted_fail_count,sc_natural,0,0,814,917,0,19,0,24,201,918,0,201,0.2,4697,4697,1539,23487,5655,244,19,622,0,0,19,19,0
JB GPT-5.4,predicted_fail_count,sc_random,0,0,1027,989,0,16,0,24,204,990,48,204,0.2,4697,4697,1539,23487,5655,244,16,550,0,0,16,16,0
JB GPT-5.4,predicted_fail_count,sc_judge,0,0,1228,1474,0,4,0,24,216,1475,178,216,0.2,4697,4697,1539,23487,5655,244,4,65,0,0,4,4,0
JB GPT-5.4,predicted_fail_count,disagreement_only,0,1,1217,739,27,218,5,2,2,1210,5,0,0.2,4697,4316,1539,23487,5655,244,245,800,381,22,220,242,2
JB GPT-5.4,predicted_fail_count,disagreement_then_random,0,1,1306,786,28,211,6,2,9,1288,6,0,0.2,4697,4697,1539,23487,5655,244,239,753,0,22,220,242,9
JB GPT-5.4,predicted_fail_count,sc_disagreement,0,1,1206,1389,0,7,0,24,213,1389,158,213,0.2,4697,4697,1539,23487,5655,244,7,150,0,0,7,7,0
JB GPT-5.4,random,random_criterion,0,0,1062,789,36,195,18,6,25,1399,23,0,0.2,4697,4697,1539,23487,5655,244,231,750,0,18,220,238,25
JB GPT-5.4,random,sc_natural,0,0,788,863,10,85,0,14,135,864,0,135,0.2,4697,4697,1539,23487,5655,244,95,676,0,10,85,95,0
JB GPT-5.4,random,sc_random,0,0,1101,1100,7,57,0,17,163,1100,35,163,0.2,4697,4697,1539,23487,5655,244,64,439,0,7,57,64,0
JB GPT-5.4,random,sc_judge,0,0,1274,1472,1,7,0,23,213,1472,168,213,0.2,4697,4697,1539,23487,5655,244,8,67,0,1,7,8,0
JB GPT-5.4,random,disagreement_only,0,1,1217,739,27,218,5,2,2,1210,5,0,0.2,4697,4316,1539,23487,5655,244,245,800,381,22,220,242,2
JB GPT-5.4,random,disagreement_then_random,0,1,1306,786,28,211,6,2,9,1288,6,0,0.2,4697,4697,1539,23487,5655,244,239,753,0,22,220,242,9
JB GPT-5.4,random,sc_disagreement,0,1,1290,1392,3,16,0,21,204,1393,144,203,0.2,4697,4697,1539,23487,5655,244,19,147,0,3,17,20,1
JB GPT-5.4-mini,release,random_criterion,0,0,1464,789,37,202,22,21,21,1399,31,0,0.2,4697,4697,1539,23487,7537,259,239,750,0,15,223,238,21
JB GPT-5.4-mini,release,sc_natural,0,0,843,908,10,109,0,26,114,909,1,114,0.2,4697,4697,1539,23487,7537,259,119,631,0,10,109,119,0
JB GPT-5.4-mini,release,sc_random,0,0,1246,1185,5,74,0,31,149,1186,66,149,0.2,4697,4697,1539,23487,7537,259,79,354,0,5,74,79,0
JB GPT-5.4-mini,release,sc_judge,0,0,1386,1320,3,40,1,34,183,1321,323,183,0.2,4697,4697,1539,23487,7537,259,43,219,0,2,40,42,0
JB GPT-5.4-mini,release,disagreement_only,0,1,3099,739,27,218,18,27,5,1210,18,0,0.2,4697,4316,1539,23487,7537,259,245,800,381,9,223,232,5
JB GPT-5.4-mini,release,disagreement_then_random,0,1,3188,786,28,211,19,27,12,1288,19,0,0.2,4697,4697,1539,23487,7537,259,239,753,0,9,223,232,12
JB GPT-5.4-mini,release,sc_disagreement,0,1,1697,1489,0,20,0,36,203,1490,170,202,0.2,4697,4697,1539,23487,7537,259,20,50,0,0,21,21,1
JB GPT-5.4-mini,predicted_fail_count,random_criterion,0,0,1464,789,37,202,22,21,21,1399,31,0,0.2,4697,4697,1539,23487,7537,259,239,750,0,15,223,238,21
JB GPT-5.4-mini,predicted_fail_count,sc_natural,0,0,876,811,0,24,0,36,199,812,1,199,0.2,4697,4697,1539,23487,7537,259,24,728,0,0,24,24,0
JB GPT-5.4-mini,predicted_fail_count,sc_random,0,0,1178,965,0,14,0,36,209,966,78,209,0.2,4697,4697,1539,23487,7537,259,14,574,0,0,14,14,0
JB GPT-5.4-mini,predicted_fail_count,sc_judge,0,0,1368,928,1,16,1,36,207,929,366,207,0.2,4697,4697,1539,23487,7537,259,17,611,0,0,16,16,0
JB GPT-5.4-mini,predicted_fail_count,disagreement_only,0,1,3099,739,27,218,18,27,5,1210,18,0,0.2,4697,4316,1539,23487,7537,259,245,800,381,9,223,232,5
JB GPT-5.4-mini,predicted_fail_count,disagreement_then_random,0,1,3188,786,28,211,19,27,12,1288,19,0,0.2,4697,4697,1539,23487,7537,259,239,753,0,9,223,232,12
JB GPT-5.4-mini,predicted_fail_count,sc_disagreement,0,1,1568,1338,0,3,0,36,220,1338,171,220,0.2,4697,4697,1539,23487,7537,259,3,201,0,0,3,3,0
JB GPT-5.4-mini,random,random_criterion,0,0,1464,789,37,202,22,21,21,1399,31,0,0.2,4697,4697,1539,23487,7537,259,239,750,0,15,223,238,21
JB GPT-5.4-mini,random,sc_natural,0,0,836,863,16,85,0,20,138,864,1,138,0.2,4697,4697,1539,23487,7537,259,101,676,0,16,85,101,0
JB GPT-5.4-mini,random,sc_random,0,0,1196,1100,11,57,0,25,166,1100,55,166,0.2,4697,4697,1539,23487,7537,259,68,439,0,11,57,68,0
JB GPT-5.4-mini,random,sc_judge,0,0,1326,1210,6,41,1,31,182,1211,298,182,0.2,4697,4697,1539,23487,7537,259,47,329,0,5,41,46,0
JB GPT-5.4-mini,random,disagreement_only,0,1,3099,739,27,218,18,27,5,1210,18,0,0.2,4697,4316,1539,23487,7537,259,245,800,381,9,223,232,5
JB GPT-5.4-mini,random,disagreement_then_random,0,1,3188,786,28,211,19,27,12,1288,19,0,0.2,4697,4697,1539,23487,7537,259,239,753,0,9,223,232,12
JB GPT-5.4-mini,random,sc_disagreement,0,1,1611,1392,4,17,0,32,206,1393,154,205,0.2,4697,4697,1539,23487,7537,259,21,147,0,4,18,22,1
JB GPT-5.4 | binary_only,release,random_criterion,0,0,790,765,108,59,4,77,8,1314,5,0,0.2,4046,4046,1539,20229,3807,248,167,774,0,104,67,171,8
JB GPT-5.4 | binary_only,release,sc_natural,0,0,521,823,85,40,0,96,27,824,7,26,0.2,4046,4046,1539,20229,3807,248,125,716,0,85,41,126,1
JB GPT-5.4 | binary_only,release,sc_random,0,0,639,1152,38,32,0,143,35,1152,12,35,0.2,4046,4046,1539,20229,3807,248,70,387,0,38,32,70,0
JB GPT-5.4 | binary_only,release,sc_judge,0,0,733,1472,6,14,0,175,53,1473,45,53,0.2,4046,4046,1539,20229,3807,248,20,67,0,6,14,20,0
JB GPT-5.4 | binary_only,release,disagreement_only,0,1,990,726,198,31,30,13,36,920,30,0,0.2,4046,3596,1539,20229,3807,248,229,813,450,168,67,235,36
JB GPT-5.4 | binary_only,release,disagreement_then_random,0,1,1069,770,185,29,29,25,38,1062,30,0,0.2,4046,4046,1539,20229,3807,248,214,769,0,156,67,223,38
JB GPT-5.4 | binary_only,release,sc_disagreement,0,1,800,1464,9,14,0,172,53,1465,41,53,0.2,4046,4046,1539,20229,3807,248,23,75,0,9,14,23,0
JB GPT-5.4 | binary_only,predicted_fail_count,random_criterion,0,0,790,765,108,59,4,77,8,1314,5,0,0.2,4046,4046,1539,20229,3807,248,167,774,0,104,67,171,8
JB GPT-5.4 | binary_only,predicted_fail_count,sc_natural,0,0,511,881,0,27,0,181,40,882,17,40,0.2,4046,4046,1539,20229,3807,248,27,658,0,0,27,27,0
JB GPT-5.4 | binary_only,predicted_fail_count,sc_random,0,0,628,989,0,12,0,181,55,990,13,54,0.2,4046,4046,1539,20229,3807,248,12,550,0,0,13,13,1
JB GPT-5.4 | binary_only,predicted_fail_count,sc_judge,0,0,665,1342,0,7,0,181,60,1342,46,60,0.2,4046,4046,1539,20229,3807,248,7,197,0,0,7,7,0
JB GPT-5.4 | binary_only,predicted_fail_count,disagreement_only,0,1,990,726,198,31,30,13,36,920,30,0,0.2,4046,3596,1539,20229,3807,248,229,813,450,168,67,235,36
JB GPT-5.4 | binary_only,predicted_fail_count,disagreement_then_random,0,1,1069,770,185,29,29,25,38,1062,30,0,0.2,4046,4046,1539,20229,3807,248,214,769,0,156,67,223,38
JB GPT-5.4 | binary_only,predicted_fail_count,sc_disagreement,0,1,714,1322,0,7,0,181,60,1322,42,60,0.2,4046,4046,1539,20229,3807,248,7,217,0,0,7,7,0
JB GPT-5.4 | binary_only,random,random_criterion,0,0,790,765,108,59,4,77,8,1314,5,0,0.2,4046,4046,1539,20229,3807,248,167,774,0,104,67,171,8
JB GPT-5.4 | binary_only,random,sc_natural,0,0,566,792,90,32,0,91,35,793,10,35,0.2,4046,4046,1539,20229,3807,248,122,747,0,90,32,122,0
JB GPT-5.4 | binary_only,random,sc_random,0,0,692,1060,53,19,0,128,48,1061,6,48,0.2,4046,4046,1539,20229,3807,248,72,479,0,53,19,72,0
JB GPT-5.4 | binary_only,random,sc_judge,0,0,772,1375,16,6,0,165,61,1375,40,61,0.2,4046,4046,1539,20229,3807,248,22,164,0,16,6,22,0
JB GPT-5.4 | binary_only,random,disagreement_only,0,1,990,726,198,31,30,13,36,920,30,0,0.2,4046,3596,1539,20229,3807,248,229,813,450,168,67,235,36
JB GPT-5.4 | binary_only,random,disagreement_then_random,0,1,1069,770,185,29,29,25,38,1062,30,0,0.2,4046,4046,1539,20229,3807,248,214,769,0,156,67,223,38
JB GPT-5.4 | binary_only,random,sc_disagreement,0,1,827,1351,19,6,0,162,61,1352,36,60,0.2,4046,4046,1539,20229,3807,248,25,188,0,19,7,26,1
