dataset,task_order,policy,budget_share,seeds,budget_cap,n_tasks,n_criteria,inference_kind,actual_queries_median,actual_queries_p05,actual_queries_p95,certified_tasks_median,certified_tasks_p05,certified_tasks_p95,residual_errors_median,residual_errors_p05,residual_errors_p95,pass_width_median,pass_width_p05,pass_width_p95,accuracy_ci_width_median,accuracy_ci_width_p05,accuracy_ci_width_p95,sample_agreement_median,sample_agreement_p05,sample_agreement_p95,accuracy_bias,accuracy_rmse,accuracy_within_half_pp,accuracy_interval_covered
DR Gemini 3.1 Pro,release,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03157894736842104,0.029102167182662564,0.03405572755417963,0.9331683168316832,0.9245049504950495,0.942450495049505,0.0009280351997633269,0.007286519466872353,14,31
DR Gemini 3.1 Pro,release,random_criterion,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,232.0,222.5,239.0,4.0,1.0,6.0,0.18309859154929578,0.15845070422535212,0.21654929577464788,0.021052631578947323,0.02043343653250773,0.022291021671826616,0.9246646026831785,0.9169246646026832,0.931888544891641,-0.0010652818003262896,0.004696376325130917,23,30
DR Gemini 3.1 Pro,release,sc_judge,0.6,31,969,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,release,sc50_then_srs,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024767801857585092,0.0235294117647058,0.026006191950464386,0.9308565531475749,0.9226006191950464,0.9370485036119711,-0.0005043217970243097,0.006045036907429153,19,30
DR Gemini 3.1 Pro,release,random_criterion,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256965944272446,0.9256965944272446,0.9256965944272446,0.0,0.0,31,31
DR Gemini 3.1 Pro,release,sc_judge,1.0,31,1615,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,release,sc50_then_srs,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256965944272446,0.9256965944272446,0.9256965944272446,0.0,0.0,31,31
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,4.0,3.0,7.0,9.0,8.0,10.0,0.9859154929577465,0.9753521126760564,0.9894366197183099,0.9938080495356038,0.9938080495356036,0.9938080495356038,0.9,0.8,1.0,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,5.0,3.0,7.0,10.0,8.0,10.0,0.9823943661971831,0.9753521126760564,0.9894366197183099,0.5195046439628483,0.5195046439628482,0.7969040247678019,0.9,0.7,1.0,-0.022530710076900055,0.13474406781195908,0,31
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,39.0,36.0,41.0,2.0,1.0,2.0,0.8626760563380281,0.8556338028169014,0.8732394366197183,0.94984520123839,0.94984520123839,0.9498452012383901,0.9012345679012346,0.8888888888888888,0.9012345679012346,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,41.0,35.5,45.0,6.0,3.5,8.0,0.8556338028169014,0.8415492957746479,0.875,0.17708978328173375,0.12321981424148604,0.21950464396284836,0.9135802469135802,0.8641975308641975,0.9567901234567902,-0.0034082521989706343,0.03606597076012586,12,31
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,269.0,265.0,273.5,0.0,0.0,0.0,0.0528169014084507,0.03697183098591549,0.06690140845070422,0.7999999999999999,0.7999999999999999,0.8,0.9504643962848297,0.9380804953560371,0.958204334365325,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,183.0,175.0,191.0,0.0,0.0,0.0,0.35563380281690143,0.3274647887323944,0.38380281690140844,0.07616099071207427,0.0619195046439629,0.0848297213622291,0.9287925696594427,0.9164086687306502,0.9396284829721362,0.00018494475700105912,0.014196531548947306,8,31
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03157894736842104,0.029102167182662564,0.03405572755417963,0.9331683168316832,0.9245049504950495,0.942450495049505,0.0009280351997633269,0.007286519466872353,14,31
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,0.6,31,969,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024767801857585092,0.0235294117647058,0.026006191950464386,0.9308565531475749,0.9226006191950464,0.9370485036119711,-0.0005043217970243097,0.006045036907429153,19,30
DR Gemini 3.1 Pro,predicted_fail_count,sc_judge,1.0,31,1615,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,predicted_fail_count,sc50_then_srs,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256965944272446,0.9256965944272446,0.9256965944272446,0.0,0.0,31,31
DR Gemini 3.1 Pro,random,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,9.0,5.5,10.0,10.0,9.0,10.0,0.9683098591549296,0.9647887323943662,0.9806338028169015,0.9938080495356038,0.9938080495356038,0.9938080495356038,0.9,0.8500000000000001,1.0,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,7.0,4.0,9.0,10.0,9.0,10.0,0.9753521126760564,0.9683098591549296,0.9859154929577465,0.5195046439628483,0.5195046439628483,0.7969040247678019,0.9,0.75,1.0,-0.022350943773094996,0.13466506149534568,0,31
DR Gemini 3.1 Pro,random,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,68.0,61.5,75.0,8.0,6.0,9.5,0.7605633802816901,0.7359154929577465,0.783450704225352,0.9498452012383901,0.94984520123839,0.9498452012383901,0.9506172839506173,0.9135802469135802,0.9753086419753086,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,57.0,49.0,60.5,9.0,7.0,10.0,0.7992957746478874,0.7869718309859155,0.8274647887323944,0.17708978328173375,0.12321981424148604,0.22569659442724455,0.9382716049382716,0.9012345679012346,0.9629629629629629,-0.0022098101736036154,0.03730370128497315,11,31
DR Gemini 3.1 Pro,random,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,271.0,265.5,276.0,0.0,0.0,1.0,0.045774647887323945,0.02816901408450704,0.06514084507042253,0.8,0.7999999999999999,0.8,0.9504643962848297,0.9396284829721362,0.9597523219814241,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,179.0,167.5,189.0,4.0,3.0,7.0,0.36971830985915494,0.3345070422535211,0.4102112676056338,0.07616099071207427,0.06191950464396284,0.0851393188854489,0.934984520123839,0.9210526315789473,0.9520123839009288,0.0003097208197244504,0.014829223447030833,14,31
DR Gemini 3.1 Pro,random,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03157894736842104,0.029102167182662564,0.03405572755417963,0.9331683168316832,0.9245049504950495,0.942450495049505,0.0009280351997633269,0.007286519466872353,14,31
DR Gemini 3.1 Pro,random,sc_judge,0.6,31,969,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024767801857585092,0.0235294117647058,0.026006191950464386,0.9308565531475749,0.9226006191950464,0.9370485036119711,-0.0005043217970243097,0.006045036907429153,19,30
DR Gemini 3.1 Pro,random,sc_judge,1.0,31,1615,284,1615,logical_bounds_or_census,338.0,333.5,342.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907120743034055,0.7879256965944272,0.7934984520123839,0.9523809523809523,0.9415204678362573,0.9597704213088829,,,,31
DR Gemini 3.1 Pro,random,sc50_then_srs,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256965944272446,0.9256965944272446,0.9256965944272446,0.0,0.0,31,31
DR Qwen-plus,release,random_criterion,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,6.0,4.0,8.5,31.0,30.0,31.0,0.9788732394366197,0.9700704225352113,0.9859154929577465,0.5287925696594427,0.3071207430340557,0.5839009287925696,0.8,0.7,1.0,-0.004174573055028409,0.11200912054455991,0,30
DR Qwen-plus,release,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,10.0,9.0,10.0,31.0,31.0,31.0,0.9647887323943662,0.9647887323943662,0.9683098591549296,0.9938080495356038,0.9938080495356038,0.9938080495356038,1.0,0.9,1.0,,,,31
DR Qwen-plus,release,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,8.0,6.0,9.0,31.0,30.0,31.0,0.971830985915493,0.9683098591549296,0.9788732394366197,0.7077399380804954,0.5195046439628483,0.7969040247678019,0.9,0.75,1.0,-0.010166783181863525,0.15993743905152233,0,31
DR Qwen-plus,release,random_criterion,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,44.0,38.0,49.0,29.0,26.5,30.5,0.8450704225352113,0.8274647887323944,0.8661971830985915,0.1702786377708978,0.15046439628482966,0.18575851393188847,0.8271604938271605,0.7777777777777778,0.8765432098765432,0.003232834352378995,0.03385315474496272,4,31
DR Qwen-plus,release,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,74.0,70.0,76.0,29.0,29.0,29.0,0.7394366197183099,0.7323943661971831,0.7535211267605634,0.9498452012383901,0.94984520123839,0.9498452012383901,0.9506172839506173,0.9320987654320987,0.9753086419753086,,,,31
DR Qwen-plus,release,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,54.0,50.0,59.0,29.0,27.0,30.5,0.8098591549295775,0.7922535211267606,0.823943661971831,0.23900928792569665,0.1962848297213622,0.2761609907120743,0.8888888888888888,0.8395061728395061,0.9320987654320987,-0.001165801531180163,0.05912100464829055,0,31
DR Qwen-plus,release,random_criterion,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,131.0,118.5,136.0,23.0,18.5,26.5,0.5387323943661971,0.5211267605633803,0.5827464788732395,0.07554179566563468,0.07182662538699691,0.08173374613003104,0.8297213622291022,0.7894736842105263,0.8513931888544892,0.001098571856586472,0.02084273912942098,4,30
DR Qwen-plus,release,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,261.0,256.0,266.5,6.0,5.5,7.0,0.08098591549295775,0.061619718309859156,0.09859154929577464,0.8,0.7999999999999999,0.8,0.8699690402476781,0.8575851393188855,0.8792569659442725,,,,31
DR Qwen-plus,release,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,167.0,160.5,173.5,22.0,20.0,25.5,0.4119718309859155,0.3890845070422535,0.43485915492957744,0.10835913312693501,0.09597523219814241,0.11578947368421055,0.8730650154798761,0.8513931888544891,0.8978328173374613,-0.0028982076387116143,0.027356493377545463,5,31
DR Qwen-plus,release,random_criterion,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,215.0,204.5,221.5,12.0,8.5,16.5,0.24295774647887325,0.22007042253521125,0.27992957746478875,0.038390092879256876,0.03653250773993805,0.03839009287925699,0.8205445544554455,0.8081683168316832,0.8366336633663366,-0.0012282300336295135,0.009309630395987617,8,31
DR Qwen-plus,release,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,release,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045820433436532415,0.04365325077399379,0.04767801857585141,0.8329207920792079,0.817450495049505,0.8452970297029703,-0.0003946500205670982,0.011514107395644744,11,31
DR Qwen-plus,release,random_criterion,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,232.0,222.5,239.0,11.0,6.0,14.0,0.18309859154929578,0.15845070422535212,0.21654929577464788,0.030959752321981338,0.030340557275541746,0.031888544891640835,0.8224974200206399,0.8106295149638802,0.8317853457172343,-0.001997403375611685,0.007390842341697239,12,31
DR Qwen-plus,release,sc_judge,0.6,31,969,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,release,sc50_then_srs,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03467492260061922,0.033436532507739924,0.035913312693498456,0.8286893704850361,0.8209494324045408,0.8400412796697627,-0.0001795835136709778,0.008074254655866801,13,30
DR Qwen-plus,release,random_criterion,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,31,31
DR Qwen-plus,release,sc_judge,1.0,31,1615,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,release,sc50_then_srs,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,31,31
DR Qwen-plus,predicted_fail_count,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,6.0,3.0,8.0,27.0,25.5,30.5,0.9788732394366197,0.971830985915493,0.9894366197183099,0.9938080495356038,0.9938080495356036,0.9938080495356038,0.6,0.45,0.95,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,6.0,3.0,7.0,29.0,27.5,31.0,0.9788732394366197,0.9753521126760564,0.9894366197183099,0.7077399380804954,0.5195046439628482,0.7969040247678019,0.7,0.5,0.95,-0.011145510835913268,0.16015717348402164,0,31
DR Qwen-plus,predicted_fail_count,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,41.0,36.5,44.0,10.0,5.0,12.0,0.8556338028169014,0.8450704225352113,0.8714788732394365,0.9498452012383901,0.94984520123839,0.9498452012383901,0.7407407407407407,0.6790123456790124,0.7654320987654321,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,44.0,37.5,49.5,19.0,15.0,24.0,0.8450704225352113,0.8257042253521127,0.8679577464788732,0.23900928792569665,0.17708978328173375,0.2761609907120743,0.7654320987654321,0.7098765432098766,0.8395061728395061,-0.0023345260916905206,0.06039991353278252,2,31
DR Qwen-plus,predicted_fail_count,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,249.0,242.5,258.5,0.0,0.0,0.0,0.12323943661971831,0.08978873239436619,0.14612676056338028,0.8,0.8,0.8,0.8421052631578947,0.8312693498452013,0.8560371517027864,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,173.0,163.0,179.5,1.0,0.0,2.0,0.3908450704225352,0.36795774647887325,0.426056338028169,0.10340557275541795,0.09287925696594423,0.11300309597523217,0.8018575851393189,0.7755417956656347,0.8204334365325078,-0.0017490842152115469,0.02612265559468644,4,31
DR Qwen-plus,predicted_fail_count,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045820433436532415,0.04365325077399379,0.04767801857585141,0.8329207920792079,0.817450495049505,0.8452970297029703,-0.0003946500205670982,0.011514107395644744,11,31
DR Qwen-plus,predicted_fail_count,sc_judge,0.6,31,969,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,0.6,31,969,284,1615,exact_conditional_SRS,969.0,969.0,969.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03467492260061922,0.033436532507739924,0.035913312693498456,0.8286893704850361,0.8209494324045408,0.8400412796697627,-0.0001795835136709778,0.008074254655866801,13,30
DR Qwen-plus,predicted_fail_count,sc_judge,1.0,31,1615,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,predicted_fail_count,sc50_then_srs,1.0,31,1615,284,1615,exact_conditional_SRS,1615.0,1615.0,1615.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,31,31
DR Qwen-plus,random,sc_judge,0.006,31,10,284,1615,logical_bounds_or_census,10.0,10.0,10.0,8.0,5.5,10.0,30.0,29.0,31.0,0.971830985915493,0.9647887323943662,0.9806338028169015,0.9938080495356038,0.9938080495356036,0.9938080495356038,0.9,0.55,1.0,,,,31
DR Qwen-plus,random,sc50_then_srs,0.006,31,10,284,1615,exact_conditional_SRS,10.0,10.0,10.0,7.0,4.0,9.0,30.0,29.5,31.0,0.9753521126760564,0.9683098591549296,0.9859154929577465,0.7077399380804954,0.5195046439628483,0.7969040247678019,0.9,0.55,1.0,-0.01054628982322974,0.15999337689383264,0,31
DR Qwen-plus,random,sc_judge,0.05,31,81,284,1615,logical_bounds_or_census,81.0,81.0,81.0,65.0,54.0,72.0,23.0,21.0,28.0,0.7711267605633803,0.7464788732394366,0.8098591549295775,0.9498452012383901,0.94984520123839,0.9498452012383901,0.8518518518518519,0.7839506172839505,0.9074074074074074,,,,31
DR Qwen-plus,random,sc50_then_srs,0.05,31,81,284,1615,exact_conditional_SRS,81.0,81.0,81.0,55.0,48.5,57.5,27.0,24.0,29.0,0.8063380281690141,0.7975352112676057,0.829225352112676,0.23900928792569665,0.18668730650154797,0.2761609907120743,0.8271604938271605,0.7839506172839505,0.8888888888888888,-0.0021679134198712073,0.057992045294132426,0,31
DR Qwen-plus,random,sc_judge,0.2,31,323,284,1615,logical_bounds_or_census,323.0,323.0,323.0,256.0,248.5,263.5,2.0,0.5,5.5,0.09859154929577464,0.0721830985915493,0.125,0.8,0.7999999999999999,0.8,0.8544891640866873,0.8359133126934984,0.868421052631579,,,,31
DR Qwen-plus,random,sc50_then_srs,0.2,31,323,284,1615,exact_conditional_SRS,323.0,323.0,323.0,174.0,166.0,184.5,14.0,10.5,19.0,0.3873239436619718,0.35035211267605637,0.4154929577464789,0.10588235294117654,0.09349845201238394,0.11393188854489167,0.8328173374613003,0.8111455108359134,0.8637770897832817,-0.00298278904091345,0.02612544741219114,3,31
DR Qwen-plus,random,sc_judge,0.5,31,808,284,1615,logical_bounds_or_census,358.0,349.0,366.5,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778328173374613,0.7730650154798762,0.7839009287925698,0.8559556786703602,0.8447802197802198,0.8656327027113544,,,,31
DR Qwen-plus,random,sc50_then_srs,0.5,31,808,284,1615,exact_conditional_SRS,808.0,808.0,808.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045820433436532415,0.04365325077399379,0.04767801857585141,0.8329207920792079,0.817450495049505,0.8452970297029703,-0.0003946500205670982,0.011514107395644744,11,31
