annotation_id,corresponding_annotator_id,annotation_order,task_id,task_slot_order,method_step_order,output_id,output_quality_level,output_quality_level_order,rubric_total_points,rubric_max_points
autograder_annotation_000167,annotator_004,56,task_028,20,2,output_002082,good,2,1.5,18
autograder_annotation_000168,annotator_004,57,task_028,20,3,output_002050,intermediate,1,4.5,18
autograder_annotation_000172,annotator_004,61,task_030,22,1,output_002259,excellent,3,15,17
autograder_annotation_000173,annotator_004,62,task_030,22,2,output_002220,intermediate,1,14.5,17
autograder_annotation_000174,annotator_004,63,task_030,22,3,output_002223,good,2,14.5,17
autograder_annotation_000178,annotator_004,67,task_009,24,1,output_000653,good,2,14.5,15
autograder_annotation_000179,annotator_004,68,task_009,24,2,output_000683,excellent,3,14.5,15
autograder_annotation_000180,annotator_004,69,task_009,24,3,output_000617,intermediate,1,13.5,15
autograder_annotation_000184,annotator_004,73,task_023,26,1,output_001692,intermediate,1,3,9
autograder_annotation_000185,annotator_004,74,task_023,26,2,output_001744,excellent,3,3.5,9
autograder_annotation_000186,annotator_004,75,task_023,26,3,output_001724,good,2,6,9
autograder_annotation_000190,annotator_004,79,task_015,28,1,output_001132,excellent,3,18.5,21
autograder_annotation_000191,annotator_004,80,task_015,28,2,output_001101,good,2,14,21
autograder_annotation_000192,annotator_004,81,task_015,28,3,output_001080,intermediate,1,12,21
autograder_annotation_000196,annotator_004,85,task_021,30,1,output_001587,excellent,3,-0.5,2
autograder_annotation_000197,annotator_004,86,task_021,30,2,output_001538,intermediate,1,0.5,2
autograder_annotation_000198,annotator_004,87,task_021,30,3,output_001572,good,2,-2.5,2
autograder_annotation_000199,annotator_005,1,task_004,1,1,output_000238,intermediate,1,4,13
autograder_annotation_000200,annotator_005,2,task_004,1,2,output_000270,good,2,7,13
autograder_annotation_000201,annotator_005,3,task_004,1,3,output_000294,excellent,3,7,13
autograder_annotation_000205,annotator_005,7,task_023,3,1,output_001696,intermediate,1,2.5,9
autograder_annotation_000206,annotator_005,8,task_023,3,2,output_001744,excellent,3,4,9
autograder_annotation_000207,annotator_005,9,task_023,3,3,output_001705,good,2,5,9
autograder_annotation_000211,annotator_005,13,task_001,7,1,output_000029,good,2,7.5,8
autograder_annotation_000212,annotator_005,14,task_001,7,2,output_000052,excellent,3,7.5,8
autograder_annotation_000213,annotator_005,15,task_001,7,3,output_000010,intermediate,1,7.5,8
autograder_annotation_000217,annotator_005,19,task_017,10,1,output_001244,intermediate,1,7.5,15
autograder_annotation_000218,annotator_005,20,task_017,10,2,output_001248,good,2,9,15
autograder_annotation_000219,annotator_005,21,task_017,10,3,output_001285,excellent,3,8.5,15
autograder_annotation_000223,annotator_006,1,task_004,1,1,output_000255,good,2,6,13
autograder_annotation_000224,annotator_006,2,task_004,1,2,output_000282,excellent,3,6,13
autograder_annotation_000225,annotator_006,3,task_004,1,3,output_000236,intermediate,1,5,13
autograder_annotation_000230,annotator_006,8,task_014,4,1,output_001013,intermediate,1,3.5,4
autograder_annotation_000231,annotator_006,9,task_014,4,2,output_001045,good,2,2.5,4
autograder_annotation_000232,annotator_006,10,task_014,4,3,output_001061,excellent,3,0.5,4
autograder_annotation_000236,annotator_006,14,task_030,6,1,output_002199,intermediate,1,15,17
autograder_annotation_000237,annotator_006,15,task_030,6,2,output_002251,excellent,3,14,17
autograder_annotation_000238,annotator_006,16,task_030,6,3,output_002235,good,2,14.5,17
autograder_annotation_000242,annotator_006,20,task_011,8,1,output_000847,excellent,3,16,22
autograder_annotation_000243,annotator_006,21,task_011,8,2,output_000810,good,2,11.5,22
autograder_annotation_000244,annotator_006,22,task_011,8,3,output_000801,intermediate,1,14.5,22
autograder_annotation_000248,annotator_006,26,task_013,10,1,output_000975,good,2,1.5,4
autograder_annotation_000249,annotator_006,27,task_013,10,2,output_000979,excellent,3,-1.5,4
autograder_annotation_000250,annotator_006,28,task_013,10,3,output_000951,intermediate,1,0.5,4
autograder_annotation_000254,annotator_006,32,task_005,12,1,output_000366,excellent,3,21.5,26
autograder_annotation_000255,annotator_006,33,task_005,12,2,output_000321,intermediate,1,18.5,26
autograder_annotation_000256,annotator_006,34,task_005,12,3,output_000344,good,2,23,26
autograder_annotation_000260,annotator_006,38,task_021,14,1,output_001599,excellent,3,-1.5,2
autograder_annotation_000261,annotator_006,39,task_021,14,2,output_001573,good,2,-1,2
autograder_annotation_000262,annotator_006,40,task_021,14,3,output_001529,intermediate,1,0.5,2
autograder_annotation_000266,annotator_006,44,task_022,16,1,output_001606,intermediate,1,12.5,24
autograder_annotation_000267,annotator_006,45,task_022,16,2,output_001630,good,2,16.5,24
autograder_annotation_000268,annotator_006,46,task_022,16,3,output_001669,excellent,3,14,24
autograder_annotation_000272,annotator_006,50,task_024,19,1,output_001807,excellent,3,-3,3
autograder_annotation_000273,annotator_006,51,task_024,19,2,output_001752,intermediate,1,-0.5,3
autograder_annotation_000274,annotator_006,52,task_024,19,3,output_001781,good,2,0,3
autograder_annotation_000278,annotator_006,56,task_006,21,1,output_000426,good,2,11,12
autograder_annotation_000279,annotator_006,57,task_006,21,2,output_000390,intermediate,1,10,12
autograder_annotation_000280,annotator_006,58,task_006,21,3,output_000443,excellent,3,10,12
autograder_annotation_000284,annotator_006,62,task_025,23,1,output_001884,excellent,3,1.5,6
autograder_annotation_000285,annotator_006,63,task_025,23,2,output_001845,intermediate,1,3,6
autograder_annotation_000286,annotator_006,64,task_025,23,3,output_001859,good,2,3.5,6
autograder_annotation_000290,annotator_006,68,task_023,26,1,output_001699,good,2,5,9
autograder_annotation_000291,annotator_006,69,task_023,26,2,output_001735,excellent,3,2,9
autograder_annotation_000292,annotator_006,70,task_023,26,3,output_001691,intermediate,1,2.5,9
autograder_annotation_000296,annotator_006,74,task_027,28,1,output_002010,good,2,0,22
autograder_annotation_000297,annotator_006,75,task_027,28,2,output_002020,excellent,3,2.5,22
autograder_annotation_000298,annotator_006,76,task_027,28,3,output_001980,intermediate,1,-6,22
autograder_annotation_000302,annotator_007,1,task_011,1,1,output_000798,intermediate,1,16,22
autograder_annotation_000303,annotator_007,2,task_011,1,2,output_000822,good,2,13,22
autograder_annotation_000304,annotator_007,3,task_011,1,3,output_000842,excellent,3,17.5,22
autograder_annotation_000308,annotator_007,7,task_027,3,1,output_002018,excellent,3,7.5,22
autograder_annotation_000309,annotator_007,8,task_027,3,2,output_002000,good,2,0.5,22
autograder_annotation_000310,annotator_007,9,task_027,3,3,output_001973,intermediate,1,6.5,22
autograder_annotation_000314,annotator_007,13,task_023,5,1,output_001727,excellent,3,2.5,9
autograder_annotation_000315,annotator_007,14,task_023,5,2,output_001711,good,2,1.5,9
autograder_annotation_000316,annotator_007,15,task_023,5,3,output_001679,intermediate,1,4,9
autograder_annotation_000320,annotator_007,19,task_002,7,1,output_000098,good,2,13,27
autograder_annotation_000321,annotator_007,20,task_002,7,2,output_000122,excellent,3,10,27
autograder_annotation_000322,annotator_007,21,task_002,7,3,output_000093,intermediate,1,16,27
autograder_annotation_000326,annotator_007,25,task_026,9,1,output_001963,excellent,3,10,13
autograder_annotation_000327,annotator_007,26,task_026,9,2,output_001931,good,2,10.5,13
autograder_annotation_000328,annotator_007,27,task_026,9,3,output_001903,intermediate,1,10.5,13
autograder_annotation_000332,annotator_007,31,task_010,11,1,output_000724,good,2,9,15
autograder_annotation_000333,annotator_007,32,task_010,11,2,output_000718,intermediate,1,7,15
autograder_annotation_000334,annotator_007,33,task_010,11,3,output_000753,excellent,3,7,15
autograder_annotation_000338,annotator_007,37,task_007,13,1,output_000518,excellent,3,9,24
autograder_annotation_000339,annotator_007,38,task_007,13,2,output_000478,intermediate,1,8,24
autograder_annotation_000340,annotator_007,39,task_007,13,3,output_000487,good,2,9.5,24
autograder_annotation_000344,annotator_007,43,task_019,15,1,output_001403,good,2,3.5,7
autograder_annotation_000345,annotator_007,44,task_019,15,2,output_001439,excellent,3,3,7
autograder_annotation_000346,annotator_007,45,task_019,15,3,output_001377,intermediate,1,1,7
autograder_annotation_000350,annotator_007,49,task_029,17,1,output_002139,good,2,8,12
autograder_annotation_000351,annotator_007,50,task_029,17,2,output_002128,intermediate,1,8,12
autograder_annotation_000352,annotator_007,51,task_029,17,3,output_002190,excellent,3,8,12
autograder_annotation_000356,annotator_007,55,task_018,19,1,output_001311,intermediate,1,1,13
autograder_annotation_000357,annotator_007,56,task_018,19,2,output_001362,excellent,3,3,13
autograder_annotation_000358,annotator_007,57,task_018,19,3,output_001327,good,2,3.5,13
autograder_annotation_000362,annotator_007,61,task_030,21,1,output_002239,good,2,13.5,17
autograder_annotation_000363,annotator_007,62,task_030,21,2,output_002272,excellent,3,14.5,17
autograder_annotation_000364,annotator_007,63,task_030,21,3,output_002212,intermediate,1,14,17
autograder_annotation_000368,annotator_007,67,task_008,23,1,output_000548,intermediate,1,6.5,9
autograder_annotation_000369,annotator_007,68,task_008,23,2,output_000567,good,2,5.5,9
autograder_annotation_000370,annotator_007,69,task_008,23,3,output_000587,excellent,3,6,9
autograder_annotation_000374,annotator_007,73,task_014,25,1,output_001049,good,2,2,4
autograder_annotation_000375,annotator_007,74,task_014,25,2,output_001029,intermediate,1,2.5,4
autograder_annotation_000376,annotator_007,75,task_014,25,3,output_001058,excellent,3,0.5,4
autograder_annotation_000380,annotator_007,79,task_025,27,1,output_001828,intermediate,1,3.5,6
autograder_annotation_000381,annotator_007,80,task_025,27,2,output_001848,good,2,3,6
autograder_annotation_000382,annotator_007,81,task_025,27,3,output_001896,excellent,3,2,6
autograder_annotation_000386,annotator_007,85,task_006,29,1,output_000402,intermediate,1,11,12
autograder_annotation_000387,annotator_007,86,task_006,29,2,output_000433,excellent,3,10.5,12
autograder_annotation_000388,annotator_007,87,task_006,29,3,output_000418,good,2,11,12
autograder_annotation_000392,annotator_008,1,task_009,1,1,output_000628,intermediate,1,13.5,15
autograder_annotation_000393,annotator_008,2,task_009,1,2,output_000698,excellent,3,14.5,15
autograder_annotation_000394,annotator_008,3,task_009,1,3,output_000665,good,2,13.5,15
autograder_annotation_000398,annotator_008,7,task_024,3,1,output_001762,intermediate,1,-0.5,3
autograder_annotation_000399,annotator_008,8,task_024,3,2,output_001787,good,2,-1,3
autograder_annotation_000400,annotator_008,9,task_024,3,3,output_001821,excellent,3,-3,3
autograder_annotation_000404,annotator_008,13,task_001,5,1,output_000051,excellent,3,7,8
autograder_annotation_000405,annotator_008,14,task_001,5,2,output_000024,intermediate,1,7.5,8
autograder_annotation_000406,annotator_008,15,task_001,5,3,output_000027,good,2,7.5,8
autograder_annotation_000410,annotator_008,19,task_022,7,1,output_001644,good,2,13,24
autograder_annotation_000411,annotator_008,20,task_022,7,2,output_001617,intermediate,1,14,24
autograder_annotation_000412,annotator_008,21,task_022,7,3,output_001652,excellent,3,13,24
autograder_annotation_000416,annotator_008,25,task_021,9,1,output_001594,excellent,3,-2,2
autograder_annotation_000417,annotator_008,26,task_021,9,2,output_001552,good,2,0,2
autograder_annotation_000418,annotator_008,27,task_021,9,3,output_001541,intermediate,1,0.5,2
autograder_annotation_000423,annotator_009,1,task_009,1,1,output_000627,intermediate,1,14.5,15
autograder_annotation_000424,annotator_009,2,task_009,1,2,output_000663,good,2,15,15
autograder_annotation_000425,annotator_009,3,task_009,1,3,output_000686,excellent,3,14.5,15
autograder_annotation_000429,annotator_009,7,task_008,4,1,output_000557,good,2,5.5,9
autograder_annotation_000430,annotator_009,8,task_008,4,2,output_000593,excellent,3,4,9
autograder_annotation_000431,annotator_009,9,task_008,4,3,output_000546,intermediate,1,4.5,9
autograder_annotation_000435,annotator_010,4,task_011,2,1,output_000778,intermediate,1,14,22
autograder_annotation_000436,annotator_010,5,task_011,2,2,output_000820,good,2,15.5,22
autograder_annotation_000437,annotator_010,6,task_011,2,3,output_000848,excellent,3,12.5,22
autograder_annotation_000441,annotator_011,4,task_029,2,1,output_002171,excellent,3,9,12
autograder_annotation_000442,annotator_011,5,task_029,2,2,output_002143,good,2,6.5,12
autograder_annotation_000443,annotator_011,6,task_029,2,3,output_002130,intermediate,1,3.5,12
autograder_annotation_000447,annotator_011,10,task_025,4,1,output_001874,excellent,3,3,6
autograder_annotation_000448,annotator_011,11,task_025,4,2,output_001864,good,2,2,6
autograder_annotation_000449,annotator_011,12,task_025,4,3,output_001826,intermediate,1,2.5,6
autograder_annotation_000453,annotator_011,16,task_024,6,1,output_001799,excellent,3,-1,3
autograder_annotation_000454,annotator_011,17,task_024,6,2,output_001754,intermediate,1,-1,3
autograder_annotation_000455,annotator_011,18,task_024,6,3,output_001794,good,2,-1,3
autograder_annotation_000459,annotator_011,22,task_005,8,1,output_000319,intermediate,1,23,26
autograder_annotation_000460,annotator_011,23,task_005,8,2,output_000352,excellent,3,17,26
autograder_annotation_000461,annotator_011,24,task_005,8,3,output_000342,good,2,23.5,26
autograder_annotation_000465,annotator_011,28,task_017,10,1,output_001288,excellent,3,4.5,15
autograder_annotation_000466,annotator_011,29,task_017,10,2,output_001260,good,2,6.5,15
autograder_annotation_000467,annotator_011,30,task_017,10,3,output_001241,intermediate,1,8,15
autograder_annotation_000471,annotator_011,34,task_008,12,1,output_000584,excellent,3,5.5,9
autograder_annotation_000472,annotator_011,35,task_008,12,2,output_000570,good,2,5.5,9
autograder_annotation_000473,annotator_011,36,task_008,12,3,output_000547,intermediate,1,6,9
autograder_annotation_000477,annotator_011,40,task_002,14,1,output_000074,intermediate,1,13,27
autograder_annotation_000478,annotator_011,41,task_002,14,2,output_000104,good,2,11.5,27
autograder_annotation_000479,annotator_011,42,task_002,14,3,output_000132,excellent,3,11.5,27
autograder_annotation_000483,annotator_011,46,task_013,16,1,output_000968,good,2,-0.5,4
autograder_annotation_000484,annotator_011,47,task_013,16,2,output_000988,excellent,3,-3,4
autograder_annotation_000485,annotator_011,48,task_013,16,3,output_000938,intermediate,1,0.5,4
autograder_annotation_000489,annotator_011,52,task_021,18,1,output_001568,good,2,-0.5,2
autograder_annotation_000490,annotator_011,53,task_021,18,2,output_001597,excellent,3,-4,2
autograder_annotation_000491,annotator_011,54,task_021,18,3,output_001533,intermediate,1,-1,2
autograder_annotation_000495,annotator_011,58,task_006,20,1,output_000439,excellent,3,10.5,12
autograder_annotation_000496,annotator_011,59,task_006,20,2,output_000403,intermediate,1,10,12
autograder_annotation_000497,annotator_011,60,task_006,20,3,output_000423,good,2,11.5,12
autograder_annotation_000501,annotator_011,64,task_027,22,1,output_001991,intermediate,1,0,22
autograder_annotation_000502,annotator_011,65,task_027,22,2,output_001994,good,2,-2.5,22
autograder_annotation_000503,annotator_011,66,task_027,22,3,output_002034,excellent,3,2.5,22
autograder_annotation_000507,annotator_011,70,task_014,24,1,output_001067,excellent,3,1.5,4
autograder_annotation_000508,annotator_011,71,task_014,24,2,output_001019,intermediate,1,3.5,4
autograder_annotation_000509,annotator_011,72,task_014,24,3,output_001050,good,2,3,4
autograder_annotation_000513,annotator_011,76,task_010,26,1,output_000739,good,2,7,15
autograder_annotation_000514,annotator_011,77,task_010,26,2,output_000713,intermediate,1,6,15
autograder_annotation_000515,annotator_011,78,task_010,26,3,output_000761,excellent,3,8,15
autograder_annotation_000519,annotator_011,82,task_026,28,1,output_001942,good,2,11.5,13
autograder_annotation_000520,annotator_011,83,task_026,28,2,output_001903,intermediate,1,10.5,13
autograder_annotation_000521,annotator_011,84,task_026,28,3,output_001955,excellent,3,10.5,13
autograder_annotation_000525,annotator_011,88,task_011,30,1,output_000812,good,2,14.5,22
autograder_annotation_000526,annotator_011,89,task_011,30,2,output_000834,excellent,3,13.5,22
autograder_annotation_000527,annotator_011,90,task_011,30,3,output_000783,intermediate,1,16,22
autograder_annotation_000532,annotator_012,5,task_016,3,1,output_001216,excellent,3,8,11
autograder_annotation_000533,annotator_012,6,task_016,3,2,output_001168,intermediate,1,11,11
autograder_annotation_000534,annotator_012,7,task_016,3,3,output_001187,good,2,10,11
autograder_annotation_000538,annotator_012,11,task_001,5,1,output_000020,intermediate,1,6,8
autograder_annotation_000539,annotator_012,12,task_001,5,2,output_000070,excellent,3,7,8
autograder_annotation_000540,annotator_012,13,task_001,5,3,output_000037,good,2,7.5,8
autograder_annotation_000544,annotator_012,17,task_021,7,1,output_001558,good,2,0.5,2
autograder_annotation_000545,annotator_012,18,task_021,7,2,output_001536,intermediate,1,0,2
autograder_annotation_000546,annotator_012,19,task_021,7,3,output_001577,excellent,3,-1.5,2
autograder_annotation_000550,annotator_012,23,task_008,9,1,output_000525,intermediate,1,6,9
autograder_annotation_000551,annotator_012,24,task_008,9,2,output_000576,good,2,6,9
autograder_annotation_000552,annotator_012,25,task_008,9,3,output_000606,excellent,3,4,9
autograder_annotation_000556,annotator_012,29,task_015,11,1,output_001133,excellent,3,17.5,21
autograder_annotation_000557,annotator_012,30,task_015,11,2,output_001098,intermediate,1,19,21
autograder_annotation_000558,annotator_012,31,task_015,11,3,output_001108,good,2,19,21
autograder_annotation_000570,annotator_013,7,task_022,3,1,output_001651,excellent,3,14,24
autograder_annotation_000571,annotator_013,8,task_022,3,2,output_001612,intermediate,1,15,24
autograder_annotation_000572,annotator_013,9,task_022,3,3,output_001624,good,2,13,24
autograder_annotation_000573,annotator_013,10,task_021,4,1,output_001528,intermediate,1,0.5,2
autograder_annotation_000574,annotator_013,11,task_021,4,2,output_001578,excellent,3,-3,2
autograder_annotation_000575,annotator_013,12,task_021,4,3,output_001552,good,2,-1,2
autograder_annotation_000579,annotator_013,16,task_014,6,1,output_001014,intermediate,1,3,4
autograder_annotation_000580,annotator_013,17,task_014,6,2,output_001032,good,2,1.5,4
autograder_annotation_000581,annotator_013,18,task_014,6,3,output_001064,excellent,3,1,4
autograder_annotation_000585,annotator_013,22,task_010,8,1,output_000730,good,2,6.5,15
autograder_annotation_000586,annotator_013,23,task_010,8,2,output_000716,intermediate,1,6,15
autograder_annotation_000587,annotator_013,24,task_010,8,3,output_000750,excellent,3,10,15
autograder_annotation_000591,annotator_013,28,task_018,10,1,output_001351,excellent,3,5,13
autograder_annotation_000592,annotator_013,29,task_018,10,2,output_001317,intermediate,1,0,13
autograder_annotation_000593,annotator_013,30,task_018,10,3,output_001327,good,2,2,13
autograder_annotation_000597,annotator_013,34,task_012,12,1,output_000878,good,2,8,12
autograder_annotation_000598,annotator_013,35,task_012,12,2,output_000907,excellent,3,9.5,12
autograder_annotation_000599,annotator_013,36,task_012,12,3,output_000858,intermediate,1,9.5,12
autograder_annotation_000603,annotator_013,40,task_013,14,1,output_000947,intermediate,1,0.5,4
autograder_annotation_000604,annotator_013,41,task_013,14,2,output_000959,good,2,0.5,4
autograder_annotation_000605,annotator_013,42,task_013,14,3,output_000981,excellent,3,-1,4
autograder_annotation_000609,annotator_013,46,task_023,16,1,output_001710,good,2,2.5,9
autograder_annotation_000610,annotator_013,47,task_023,16,2,output_001694,intermediate,1,4.5,9
autograder_annotation_000611,annotator_013,48,task_023,16,3,output_001746,excellent,3,5.5,9
autograder_annotation_000615,annotator_013,52,task_027,18,1,output_001976,intermediate,1,1,22
autograder_annotation_000616,annotator_013,53,task_027,18,2,output_002001,good,2,8.5,22
autograder_annotation_000617,annotator_013,54,task_027,18,3,output_002028,excellent,3,2.5,22
autograder_annotation_000621,annotator_013,58,task_003,20,1,output_000193,good,2,7.5,14
autograder_annotation_000622,annotator_013,59,task_003,20,2,output_000221,excellent,3,7.5,14
autograder_annotation_000623,annotator_013,60,task_003,20,3,output_000166,intermediate,1,5,14
autograder_annotation_000627,annotator_013,64,task_005,22,1,output_000354,excellent,3,20.5,26
autograder_annotation_000628,annotator_013,65,task_005,22,2,output_000305,intermediate,1,18,26
autograder_annotation_000629,annotator_013,66,task_005,22,3,output_000348,good,2,22.5,26
autograder_annotation_000633,annotator_013,70,task_030,24,1,output_002248,excellent,3,12.5,17
autograder_annotation_000634,annotator_013,71,task_030,24,2,output_002206,intermediate,1,13.5,17
autograder_annotation_000635,annotator_013,72,task_030,24,3,output_002223,good,2,14.5,17
autograder_annotation_000639,annotator_013,76,task_024,26,1,output_001789,good,2,-1,3
autograder_annotation_000640,annotator_013,77,task_024,26,2,output_001802,excellent,3,-3,3
autograder_annotation_000641,annotator_013,78,task_024,26,3,output_001752,intermediate,1,0,3
autograder_annotation_000645,annotator_013,82,task_008,28,1,output_000594,excellent,3,4,9
autograder_annotation_000646,annotator_013,83,task_008,28,2,output_000559,good,2,4.5,9
autograder_annotation_000647,annotator_013,84,task_008,28,3,output_000551,intermediate,1,6,9
autograder_annotation_000651,annotator_013,88,task_025,30,1,output_001883,excellent,3,3.5,6
autograder_annotation_000652,annotator_013,89,task_025,30,2,output_001865,good,2,3,6
autograder_annotation_000653,annotator_013,90,task_025,30,3,output_001835,intermediate,1,3.5,6
