rubric_item_id,task_id,item_order,weight,scoring_mode,max_score
rubric_item_000052,task_004,1,1,binary,1
rubric_item_000053,task_004,2,1,binary,1
rubric_item_000054,task_004,3,1,binary,1
rubric_item_000055,task_004,4,1,binary,1
rubric_item_000056,task_004,5,1,binary,1
rubric_item_000057,task_004,6,1,binary,1
rubric_item_000058,task_004,7,1,binary,1
rubric_item_000059,task_004,8,1,binary,1
rubric_item_000060,task_004,9,2,binary,2
rubric_item_000061,task_004,10,1,binary,1
rubric_item_000062,task_004,11,1,binary,1
rubric_item_000063,task_004,12,1,binary,1
rubric_item_000064,task_004,13,-1,occurrence_count,0
rubric_item_000065,task_004,14,-0.5,occurrence_count,0
rubric_item_000066,task_005,1,1,binary,1
rubric_item_000067,task_005,2,1,binary,1
rubric_item_000068,task_005,3,1,binary,1
rubric_item_000069,task_005,4,1,binary,1
rubric_item_000070,task_005,5,1,binary,1
rubric_item_000071,task_005,6,1,binary,1
rubric_item_000072,task_005,7,1,binary,1
rubric_item_000073,task_005,8,1,binary,1
rubric_item_000074,task_005,9,1,binary,1
rubric_item_000075,task_005,10,1,binary,1
rubric_item_000076,task_005,11,1,binary,1
rubric_item_000077,task_005,12,1,binary,1
rubric_item_000078,task_005,13,1,binary,1
rubric_item_000079,task_005,14,1,binary,1
rubric_item_000080,task_005,15,1,binary,1
rubric_item_000081,task_005,16,2,binary,2
rubric_item_000082,task_005,17,2,binary,2
rubric_item_000083,task_005,18,1,binary,1
rubric_item_000084,task_005,19,1,binary,1
rubric_item_000085,task_005,20,1,binary,1
rubric_item_000086,task_005,21,2,binary,2
rubric_item_000087,task_005,22,2,binary,2
rubric_item_000088,task_005,23,-1,occurrence_count,0
rubric_item_000089,task_005,24,-0.5,occurrence_count,0
rubric_item_000090,task_006,1,1,binary,1
rubric_item_000091,task_006,2,1,binary,1
rubric_item_000092,task_006,3,1,binary,1
rubric_item_000093,task_006,4,1,binary,1
rubric_item_000094,task_006,5,1,binary,1
rubric_item_000095,task_006,6,1,binary,1
rubric_item_000096,task_006,7,1,binary,1
rubric_item_000097,task_006,8,1,binary,1
rubric_item_000098,task_006,9,1,binary,1
rubric_item_000099,task_006,10,1,binary,1
rubric_item_000100,task_006,11,1,binary,1
rubric_item_000101,task_006,12,1,binary,1
rubric_item_000102,task_006,13,-1,occurrence_count,0
rubric_item_000103,task_006,14,-0.5,occurrence_count,0
rubric_item_000104,task_007,1,1,binary,1
rubric_item_000105,task_007,2,1,binary,1
rubric_item_000106,task_007,3,2,binary,2
rubric_item_000107,task_007,4,1,binary,1
rubric_item_000108,task_007,5,1,binary,1
rubric_item_000109,task_007,6,1,binary,1
rubric_item_000110,task_007,7,1,binary,1
rubric_item_000111,task_007,8,1,binary,1
rubric_item_000112,task_007,9,1,binary,1
rubric_item_000113,task_007,10,1,binary,1
rubric_item_000114,task_007,11,1,binary,1
rubric_item_000115,task_007,12,1,binary,1
rubric_item_000116,task_007,13,1,binary,1
rubric_item_000117,task_007,14,1,binary,1
rubric_item_000118,task_007,15,1,binary,1
rubric_item_000119,task_007,16,1,binary,1
rubric_item_000120,task_007,17,1,binary,1
rubric_item_000121,task_007,18,1,binary,1
rubric_item_000122,task_007,19,1,binary,1
rubric_item_000123,task_007,20,1,binary,1
rubric_item_000124,task_007,21,1,binary,1
rubric_item_000125,task_007,22,1,binary,1
rubric_item_000126,task_007,23,1,binary,1
rubric_item_000127,task_007,24,-1,occurrence_count,0
rubric_item_000128,task_007,25,-0.5,occurrence_count,0
rubric_item_000129,task_007,26,-1,occurrence_count,0
rubric_item_000130,task_008,1,1,binary,1
rubric_item_000131,task_008,2,1,binary,1
rubric_item_000132,task_008,3,1,binary,1
rubric_item_000133,task_008,4,2,binary,2
rubric_item_000134,task_008,5,1,binary,1
rubric_item_000135,task_008,6,1,binary,1
rubric_item_000136,task_008,7,1,binary,1
rubric_item_000137,task_008,8,1,binary,1
rubric_item_000138,task_008,9,-1,occurrence_count,0
rubric_item_000139,task_008,10,-0.5,occurrence_count,0
rubric_item_000140,task_009,1,1,binary,1
rubric_item_000141,task_009,2,1,binary,1
rubric_item_000142,task_009,3,1,binary,1
rubric_item_000143,task_009,4,1,binary,1
rubric_item_000144,task_009,5,1,binary,1
rubric_item_000145,task_009,6,1,binary,1
rubric_item_000146,task_009,7,1,binary,1
rubric_item_000147,task_009,8,1,binary,1
rubric_item_000148,task_009,9,1,binary,1
rubric_item_000149,task_009,10,1,binary,1
rubric_item_000150,task_009,11,1,binary,1
rubric_item_000151,task_009,12,1,binary,1
rubric_item_000152,task_009,13,1,binary,1
rubric_item_000153,task_009,14,1,binary,1
rubric_item_000154,task_009,15,1,binary,1
rubric_item_000155,task_009,16,-1,occurrence_count,0
rubric_item_000156,task_009,17,-0.5,occurrence_count,0
rubric_item_000157,task_010,1,1,binary,1
rubric_item_000158,task_010,2,1,binary,1
rubric_item_000159,task_010,3,1,binary,1
rubric_item_000160,task_010,4,1,binary,1
rubric_item_000161,task_010,5,1,binary,1
rubric_item_000162,task_010,6,1,binary,1
rubric_item_000163,task_010,7,1,binary,1
rubric_item_000164,task_010,8,1,binary,1
rubric_item_000165,task_010,9,1,binary,1
rubric_item_000166,task_010,10,1,binary,1
rubric_item_000167,task_010,11,1,binary,1
rubric_item_000168,task_010,12,1,binary,1
rubric_item_000169,task_010,13,1,binary,1
rubric_item_000170,task_010,14,1,binary,1
rubric_item_000171,task_010,15,1,binary,1
rubric_item_000172,task_010,16,-1,occurrence_count,0
rubric_item_000173,task_010,17,-0.5,occurrence_count,0
rubric_item_000174,task_011,1,1,binary,1
rubric_item_000175,task_011,2,1,binary,1
rubric_item_000176,task_011,3,1,binary,1
rubric_item_000177,task_011,4,1,binary,1
rubric_item_000178,task_011,5,1,binary,1
rubric_item_000179,task_011,6,1,binary,1
rubric_item_000180,task_011,7,1,binary,1
rubric_item_000181,task_011,8,1,binary,1
rubric_item_000182,task_011,9,1,binary,1
rubric_item_000183,task_011,10,1,binary,1
rubric_item_000184,task_011,11,1,binary,1
rubric_item_000185,task_011,12,1,binary,1
rubric_item_000186,task_011,13,1,binary,1
rubric_item_000187,task_011,14,1,binary,1
rubric_item_000188,task_011,15,1,binary,1
rubric_item_000189,task_011,16,1,binary,1
rubric_item_000190,task_011,17,1,binary,1
rubric_item_000191,task_011,18,1,binary,1
rubric_item_000192,task_011,19,1,binary,1
rubric_item_000193,task_011,20,1,binary,1
rubric_item_000194,task_011,21,1,binary,1
rubric_item_000195,task_011,22,1,binary,1
rubric_item_000196,task_011,23,-1,occurrence_count,0
rubric_item_000197,task_011,24,-0.5,occurrence_count,0
rubric_item_000198,task_012,1,1,binary,1
rubric_item_000199,task_012,2,1,binary,1
rubric_item_000200,task_012,3,1,binary,1
rubric_item_000201,task_012,4,1,binary,1
rubric_item_000202,task_012,5,1,binary,1
rubric_item_000203,task_012,6,1,binary,1
rubric_item_000204,task_012,7,1,binary,1
rubric_item_000205,task_012,8,1,binary,1
rubric_item_000206,task_012,9,1,binary,1
rubric_item_000207,task_012,10,1,binary,1
rubric_item_000208,task_012,11,1,binary,1
rubric_item_000209,task_012,12,1,binary,1
rubric_item_000210,task_012,13,-1,occurrence_count,0
rubric_item_000211,task_012,14,-0.5,occurrence_count,0
rubric_item_000212,task_013,1,1,binary,1
rubric_item_000213,task_013,2,1,binary,1
rubric_item_000214,task_013,3,1,binary,1
rubric_item_000215,task_013,4,0.5,binary,0.5
rubric_item_000216,task_013,5,0.5,binary,0.5
rubric_item_000217,task_013,6,-1,occurrence_count,0
rubric_item_000218,task_013,7,-0.5,occurrence_count,0
rubric_item_000219,task_014,1,1,binary,1
rubric_item_000220,task_014,2,2,binary,2
rubric_item_000221,task_014,3,1,binary,1
rubric_item_000222,task_014,4,-1,occurrence_count,0
rubric_item_000223,task_014,5,-0.5,occurrence_count,0
rubric_item_000224,task_015,1,2,binary,2
rubric_item_000225,task_015,2,1,binary,1
rubric_item_000226,task_015,3,1,binary,1
rubric_item_000227,task_015,4,1,binary,1
rubric_item_000228,task_015,5,1,binary,1
rubric_item_000229,task_015,6,1,binary,1
rubric_item_000230,task_015,7,1,binary,1
rubric_item_000231,task_015,8,1,binary,1
rubric_item_000232,task_015,9,1,binary,1
rubric_item_000233,task_015,10,1,binary,1
rubric_item_000234,task_015,11,1,binary,1
rubric_item_000235,task_015,12,1,binary,1
rubric_item_000236,task_015,13,1,binary,1
rubric_item_000237,task_015,14,1,binary,1
rubric_item_000238,task_015,15,1,binary,1
rubric_item_000239,task_015,16,1,binary,1
rubric_item_000240,task_015,17,1,binary,1
rubric_item_000241,task_015,18,1,binary,1
rubric_item_000242,task_015,19,1,binary,1
rubric_item_000243,task_015,20,1,binary,1
rubric_item_000244,task_015,21,-1,occurrence_count,0
rubric_item_000245,task_015,22,-0.5,occurrence_count,0
rubric_item_000246,task_016,1,2,binary,2
rubric_item_000247,task_016,2,1,binary,1
rubric_item_000248,task_016,3,1,binary,1
rubric_item_000249,task_016,4,1,binary,1
rubric_item_000250,task_016,5,1,binary,1
rubric_item_000251,task_016,6,1,binary,1
rubric_item_000252,task_016,7,1,binary,1
rubric_item_000253,task_016,8,1,binary,1
rubric_item_000254,task_016,9,1,binary,1
rubric_item_000255,task_016,10,1,binary,1
rubric_item_000256,task_016,11,-1,occurrence_count,0
rubric_item_000257,task_016,12,-0.5,occurrence_count,0
rubric_item_000258,task_016,13,-1,occurrence_count,0
rubric_item_000259,task_017,1,2,binary,2
rubric_item_000260,task_017,2,1,binary,1
rubric_item_000261,task_017,3,1,binary,1
rubric_item_000262,task_017,4,1,binary,1
rubric_item_000263,task_017,5,1,binary,1
rubric_item_000264,task_017,6,1,binary,1
rubric_item_000265,task_017,7,1,binary,1
rubric_item_000266,task_017,8,1,binary,1
rubric_item_000267,task_017,9,1,binary,1
rubric_item_000268,task_017,10,1,binary,1
rubric_item_000269,task_017,11,1,binary,1
rubric_item_000270,task_017,12,1,binary,1
rubric_item_000271,task_017,13,1,binary,1
rubric_item_000272,task_017,14,1,binary,1
rubric_item_000273,task_017,15,-1,occurrence_count,0
rubric_item_000274,task_017,16,-0.5,occurrence_count,0
rubric_item_000275,task_018,1,1,binary,1
rubric_item_000276,task_018,2,1,binary,1
rubric_item_000277,task_018,3,1,binary,1
rubric_item_000278,task_018,4,1,binary,1
rubric_item_000279,task_018,5,0.5,binary,0.5
rubric_item_000280,task_018,6,0.5,binary,0.5
rubric_item_000281,task_018,7,1,binary,1
rubric_item_000282,task_018,8,1,binary,1
rubric_item_000283,task_018,9,1,binary,1
rubric_item_000284,task_018,10,1,binary,1
rubric_item_000285,task_018,11,1,binary,1
rubric_item_000286,task_018,12,1,binary,1
rubric_item_000287,task_018,13,1,binary,1
rubric_item_000288,task_018,14,1,binary,1
rubric_item_000289,task_018,15,-1,occurrence_count,0
rubric_item_000290,task_018,16,-0.5,occurrence_count,0
rubric_item_000291,task_019,1,1,binary,1
rubric_item_000292,task_019,2,1,binary,1
rubric_item_000293,task_019,3,1,binary,1
rubric_item_000294,task_019,4,1,binary,1
rubric_item_000295,task_019,5,1,binary,1
rubric_item_000296,task_019,6,2,binary,2
rubric_item_000297,task_019,7,-1,occurrence_count,0
rubric_item_000298,task_019,8,-0.5,occurrence_count,0
rubric_item_000299,task_020,1,1,binary,1
rubric_item_000300,task_020,2,1,binary,1
rubric_item_000301,task_020,3,1,binary,1
rubric_item_000302,task_020,4,1,binary,1
rubric_item_000303,task_020,5,1,binary,1
rubric_item_000304,task_020,6,1,binary,1
rubric_item_000305,task_020,7,-1,occurrence_count,0
rubric_item_000306,task_020,8,-0.5,occurrence_count,0
rubric_item_000307,task_021,1,1,binary,1
rubric_item_000308,task_021,2,1,binary,1
rubric_item_000309,task_021,3,-1,occurrence_count,0
rubric_item_000310,task_021,4,-0.5,occurrence_count,0
rubric_item_000311,task_022,1,1,binary,1
rubric_item_000312,task_022,2,1,binary,1
rubric_item_000313,task_022,3,1,binary,1
rubric_item_000314,task_022,4,1,binary,1
rubric_item_000315,task_022,5,1,binary,1
rubric_item_000316,task_022,6,1,binary,1
rubric_item_000317,task_022,7,1,binary,1
rubric_item_000318,task_022,8,1,binary,1
rubric_item_000319,task_022,9,1,binary,1
rubric_item_000320,task_022,10,1,binary,1
rubric_item_000321,task_022,11,1,binary,1
rubric_item_000322,task_022,12,1,binary,1
rubric_item_000323,task_022,13,1,binary,1
rubric_item_000324,task_022,14,1,binary,1
rubric_item_000325,task_022,15,1,binary,1
rubric_item_000326,task_022,16,1,binary,1
rubric_item_000327,task_022,17,1,binary,1
rubric_item_000328,task_022,18,1,binary,1
rubric_item_000329,task_022,19,1,binary,1
rubric_item_000330,task_022,20,1,binary,1
rubric_item_000331,task_022,21,1,binary,1
rubric_item_000332,task_022,22,1,binary,1
rubric_item_000333,task_022,23,1,binary,1
rubric_item_000334,task_022,24,1,binary,1
rubric_item_000335,task_022,25,-1,occurrence_count,0
rubric_item_000336,task_022,26,-0.5,occurrence_count,0
rubric_item_000337,task_023,1,1,binary,1
rubric_item_000338,task_023,2,1,binary,1
rubric_item_000339,task_023,3,1,binary,1
rubric_item_000340,task_023,4,1,binary,1
rubric_item_000341,task_023,5,1,binary,1
rubric_item_000342,task_023,6,1,binary,1
rubric_item_000343,task_023,7,1,binary,1
rubric_item_000344,task_023,8,1,binary,1
rubric_item_000345,task_023,9,1,binary,1
rubric_item_000346,task_023,10,-1,occurrence_count,0
rubric_item_000347,task_023,11,-0.5,occurrence_count,0
rubric_item_000348,task_024,1,1,binary,1
rubric_item_000349,task_024,2,1,binary,1
rubric_item_000350,task_024,3,1,binary,1
rubric_item_000351,task_024,4,-1,occurrence_count,0
rubric_item_000352,task_024,5,-0.5,occurrence_count,0
rubric_item_000353,task_025,1,1,binary,1
rubric_item_000354,task_025,2,1,binary,1
rubric_item_000355,task_025,3,1,binary,1
rubric_item_000356,task_025,4,1,binary,1
rubric_item_000357,task_025,5,1,binary,1
rubric_item_000358,task_025,6,1,binary,1
rubric_item_000359,task_025,7,-1,occurrence_count,0
rubric_item_000360,task_025,8,-0.5,occurrence_count,0
rubric_item_000361,task_026,1,1,binary,1
rubric_item_000362,task_026,2,1,binary,1
rubric_item_000363,task_026,3,1,binary,1
rubric_item_000364,task_026,4,1,binary,1
rubric_item_000365,task_026,5,1,binary,1
rubric_item_000366,task_026,6,1,binary,1
rubric_item_000367,task_026,7,1,binary,1
rubric_item_000368,task_026,8,1,binary,1
rubric_item_000369,task_026,9,1,binary,1
rubric_item_000370,task_026,10,1,binary,1
rubric_item_000371,task_026,11,1,binary,1
rubric_item_000372,task_026,12,1,binary,1
rubric_item_000373,task_026,13,1,binary,1
rubric_item_000374,task_026,14,-1,occurrence_count,0
rubric_item_000375,task_026,15,-0.5,occurrence_count,0
rubric_item_000376,task_026,16,-1,occurrence_count,0
rubric_item_000377,task_027,1,1,binary,1
rubric_item_000378,task_027,2,2,binary,2
rubric_item_000379,task_027,3,1,binary,1
rubric_item_000380,task_027,4,1,binary,1
rubric_item_000381,task_027,5,1,binary,1
rubric_item_000382,task_027,6,1,binary,1
rubric_item_000383,task_027,7,1,binary,1
rubric_item_000384,task_027,8,1,binary,1
rubric_item_000385,task_027,9,1,binary,1
rubric_item_000386,task_027,10,1,binary,1
rubric_item_000387,task_027,11,1,binary,1
rubric_item_000388,task_027,12,1,binary,1
rubric_item_000389,task_027,13,1,binary,1
rubric_item_000390,task_027,14,1,binary,1
rubric_item_000391,task_027,15,0.5,binary,0.5
rubric_item_000392,task_027,16,0.5,binary,0.5
rubric_item_000393,task_027,17,1,binary,1
rubric_item_000394,task_027,18,1,binary,1
rubric_item_000395,task_027,19,1,binary,1
rubric_item_000396,task_027,20,1,binary,1
rubric_item_000397,task_027,21,1,binary,1
rubric_item_000398,task_027,22,1,binary,1
rubric_item_000399,task_027,23,-1,occurrence_count,0
rubric_item_000400,task_027,24,-0.5,occurrence_count,0
rubric_item_000401,task_027,25,-1,occurrence_count,0
rubric_item_000402,task_028,1,1,binary,1
rubric_item_000403,task_028,2,1,binary,1
rubric_item_000404,task_028,3,1,binary,1
rubric_item_000405,task_028,4,1,binary,1
rubric_item_000406,task_028,5,1,binary,1
rubric_item_000407,task_028,6,1,binary,1
rubric_item_000408,task_028,7,1,binary,1
rubric_item_000409,task_028,8,1,binary,1
rubric_item_000410,task_028,9,1,binary,1
rubric_item_000411,task_028,10,1,binary,1
rubric_item_000412,task_028,11,1,binary,1
rubric_item_000413,task_028,12,1,binary,1
rubric_item_000414,task_028,13,1,binary,1
rubric_item_000415,task_028,14,1,binary,1
rubric_item_000416,task_028,15,1,binary,1
rubric_item_000417,task_028,16,1,binary,1
rubric_item_000418,task_028,17,1,binary,1
rubric_item_000419,task_028,18,1,binary,1
rubric_item_000420,task_028,19,-1,occurrence_count,0
rubric_item_000421,task_028,20,-0.5,occurrence_count,0
rubric_item_000422,task_029,1,1,binary,1
rubric_item_000423,task_029,2,1,binary,1
rubric_item_000424,task_029,3,1,binary,1
rubric_item_000425,task_029,4,1,binary,1
rubric_item_000426,task_029,5,1,binary,1
rubric_item_000427,task_029,6,1,binary,1
rubric_item_000428,task_029,7,1,binary,1
rubric_item_000429,task_029,8,1,binary,1
rubric_item_000430,task_029,9,1,binary,1
rubric_item_000431,task_029,10,1,binary,1
rubric_item_000432,task_029,11,1,binary,1
rubric_item_000433,task_029,12,1,binary,1
rubric_item_000434,task_029,13,-1,occurrence_count,0
rubric_item_000435,task_029,14,-0.5,occurrence_count,0
rubric_item_000436,task_030,1,1,binary,1
rubric_item_000437,task_030,2,1,binary,1
rubric_item_000438,task_030,3,1,binary,1
rubric_item_000439,task_030,4,1,binary,1
rubric_item_000440,task_030,5,0.5,binary,0.5
rubric_item_000441,task_030,6,0.5,binary,0.5
rubric_item_000442,task_030,7,0.5,binary,0.5
rubric_item_000443,task_030,8,0.5,binary,0.5
rubric_item_000444,task_030,9,0.5,binary,0.5
rubric_item_000445,task_030,10,0.5,binary,0.5
rubric_item_000446,task_030,11,1,binary,1
rubric_item_000447,task_030,12,1,binary,1
rubric_item_000448,task_030,13,1,binary,1
rubric_item_000449,task_030,14,1,binary,1
rubric_item_000450,task_030,15,1,binary,1
rubric_item_000451,task_030,16,1,binary,1
rubric_item_000452,task_030,17,1,binary,1
rubric_item_000453,task_030,18,1,binary,1
rubric_item_000454,task_030,19,1,binary,1
rubric_item_000455,task_030,20,1,binary,1
rubric_item_000456,task_030,21,-1,occurrence_count,0
rubric_item_000457,task_030,22,-0.5,occurrence_count,0
