output_id,task_id,quality_level
output_000146,task_003,intermediate
output_000147,task_003,intermediate
output_000148,task_003,intermediate
output_000149,task_003,intermediate
output_000150,task_003,intermediate
output_000151,task_003,intermediate
output_000152,task_003,intermediate
output_000153,task_003,intermediate
output_000154,task_003,intermediate
output_000155,task_003,intermediate
output_000156,task_003,intermediate
output_000157,task_003,intermediate
output_000158,task_003,intermediate
output_000159,task_003,intermediate
output_000160,task_003,intermediate
output_000161,task_003,intermediate
output_000162,task_003,intermediate
output_000163,task_003,intermediate
output_000164,task_003,intermediate
output_000165,task_003,intermediate
output_000166,task_003,intermediate
output_000167,task_003,intermediate
output_000168,task_003,intermediate
output_000169,task_003,intermediate
output_000170,task_003,intermediate
output_000171,task_003,intermediate
output_000172,task_003,intermediate
output_000173,task_003,good
output_000174,task_003,good
output_000175,task_003,good
output_000176,task_003,good
output_000177,task_003,good
output_000178,task_003,good
output_000179,task_003,good
output_000180,task_003,good
output_000181,task_003,good
output_000182,task_003,good
output_000183,task_003,good
output_000184,task_003,good
output_000185,task_003,good
output_000186,task_003,good
output_000187,task_003,good
output_000188,task_003,good
output_000189,task_003,good
output_000190,task_003,good
output_000191,task_003,good
output_000192,task_003,good
output_000193,task_003,good
output_000194,task_003,good
output_000195,task_003,good
output_000196,task_003,good
output_000197,task_003,good
output_000198,task_003,excellent
output_000199,task_003,excellent
output_000200,task_003,excellent
output_000201,task_003,excellent
output_000202,task_003,excellent
output_000203,task_003,excellent
output_000204,task_003,excellent
output_000205,task_003,excellent
output_000206,task_003,excellent
output_000207,task_003,excellent
output_000208,task_003,excellent
output_000209,task_003,excellent
output_000210,task_003,excellent
output_000211,task_003,excellent
output_000212,task_003,excellent
output_000213,task_003,excellent
output_000214,task_003,excellent
output_000215,task_003,excellent
output_000216,task_003,excellent
output_000217,task_003,excellent
output_000218,task_003,excellent
output_000219,task_003,excellent
output_000220,task_003,excellent
output_000221,task_003,excellent
output_000222,task_003,excellent
output_000223,task_003,excellent
output_000224,task_003,excellent
output_000225,task_003,excellent
output_000226,task_004,intermediate
output_000227,task_004,intermediate
output_000228,task_004,intermediate
output_000229,task_004,intermediate
output_000230,task_004,intermediate
output_000231,task_004,intermediate
output_000232,task_004,intermediate
output_000233,task_004,intermediate
output_000234,task_004,intermediate
output_000235,task_004,intermediate
output_000236,task_004,intermediate
output_000237,task_004,intermediate
output_000238,task_004,intermediate
output_000239,task_004,intermediate
output_000240,task_004,intermediate
output_000241,task_004,intermediate
output_000242,task_004,intermediate
output_000243,task_004,intermediate
output_000244,task_004,intermediate
output_000245,task_004,intermediate
output_000246,task_004,intermediate
output_000247,task_004,intermediate
output_000248,task_004,intermediate
output_000249,task_004,intermediate
output_000250,task_004,good
output_000251,task_004,good
output_000252,task_004,good
output_000253,task_004,good
output_000254,task_004,good
output_000255,task_004,good
output_000256,task_004,good
output_000257,task_004,good
output_000258,task_004,good
output_000259,task_004,good
output_000260,task_004,good
output_000261,task_004,good
output_000262,task_004,good
output_000263,task_004,good
output_000264,task_004,good
output_000265,task_004,good
output_000266,task_004,good
output_000267,task_004,good
output_000268,task_004,good
output_000269,task_004,good
output_000270,task_004,good
output_000271,task_004,good
output_000272,task_004,good
output_000273,task_004,good
output_000274,task_004,good
output_000275,task_004,good
output_000276,task_004,excellent
output_000277,task_004,excellent
output_000278,task_004,excellent
output_000279,task_004,excellent
output_000280,task_004,excellent
output_000281,task_004,excellent
output_000282,task_004,excellent
output_000283,task_004,excellent
output_000284,task_004,excellent
output_000285,task_004,excellent
output_000286,task_004,excellent
output_000287,task_004,excellent
output_000288,task_004,excellent
output_000289,task_004,excellent
output_000290,task_004,excellent
output_000291,task_004,excellent
output_000292,task_004,excellent
output_000293,task_004,excellent
output_000294,task_004,excellent
output_000295,task_004,excellent
output_000296,task_004,excellent
output_000297,task_004,excellent
output_000298,task_004,excellent
output_000299,task_004,excellent
output_000300,task_004,excellent
output_000301,task_005,intermediate
output_000302,task_005,intermediate
output_000303,task_005,intermediate
output_000304,task_005,intermediate
output_000305,task_005,intermediate
output_000306,task_005,intermediate
output_000307,task_005,intermediate
output_000308,task_005,intermediate
output_000309,task_005,intermediate
output_000310,task_005,intermediate
output_000311,task_005,intermediate
output_000312,task_005,intermediate
output_000313,task_005,intermediate
output_000314,task_005,intermediate
output_000315,task_005,intermediate
output_000316,task_005,intermediate
output_000317,task_005,intermediate
output_000318,task_005,intermediate
output_000319,task_005,intermediate
output_000320,task_005,intermediate
output_000321,task_005,intermediate
output_000322,task_005,intermediate
output_000323,task_005,intermediate
output_000324,task_005,intermediate
output_000325,task_005,intermediate
output_000326,task_005,good
output_000327,task_005,good
output_000328,task_005,good
output_000329,task_005,good
output_000330,task_005,good
output_000331,task_005,good
output_000332,task_005,good
output_000333,task_005,good
output_000334,task_005,good
output_000335,task_005,good
output_000336,task_005,good
output_000337,task_005,good
output_000338,task_005,good
output_000339,task_005,good
output_000340,task_005,good
output_000341,task_005,good
output_000342,task_005,good
output_000343,task_005,good
output_000344,task_005,good
output_000345,task_005,good
output_000346,task_005,good
output_000347,task_005,good
output_000348,task_005,good
output_000349,task_005,good
output_000350,task_005,good
output_000351,task_005,excellent
output_000352,task_005,excellent
output_000353,task_005,excellent
output_000354,task_005,excellent
output_000355,task_005,excellent
output_000356,task_005,excellent
output_000357,task_005,excellent
output_000358,task_005,excellent
output_000359,task_005,excellent
output_000360,task_005,excellent
output_000361,task_005,excellent
output_000362,task_005,excellent
output_000363,task_005,excellent
output_000364,task_005,excellent
output_000365,task_005,excellent
output_000366,task_005,excellent
output_000367,task_005,excellent
output_000368,task_005,excellent
output_000369,task_005,excellent
output_000370,task_005,excellent
output_000371,task_005,excellent
output_000372,task_005,excellent
output_000373,task_005,excellent
output_000374,task_005,excellent
output_000375,task_005,excellent
output_000376,task_005,excellent
output_000377,task_005,excellent
output_000378,task_005,excellent
output_000379,task_005,excellent
output_000380,task_005,excellent
output_000381,task_006,intermediate
output_000382,task_006,intermediate
output_000383,task_006,intermediate
output_000384,task_006,intermediate
output_000385,task_006,intermediate
output_000386,task_006,intermediate
output_000387,task_006,intermediate
output_000388,task_006,intermediate
output_000389,task_006,intermediate
output_000390,task_006,intermediate
output_000391,task_006,intermediate
output_000392,task_006,intermediate
output_000393,task_006,intermediate
output_000394,task_006,intermediate
output_000395,task_006,intermediate
output_000396,task_006,intermediate
output_000397,task_006,intermediate
output_000398,task_006,intermediate
output_000399,task_006,intermediate
output_000400,task_006,intermediate
output_000401,task_006,intermediate
output_000402,task_006,intermediate
output_000403,task_006,intermediate
output_000404,task_006,intermediate
output_000405,task_006,intermediate
output_000406,task_006,good
output_000407,task_006,good
output_000408,task_006,good
output_000409,task_006,good
output_000410,task_006,good
output_000411,task_006,good
output_000412,task_006,good
output_000413,task_006,good
output_000414,task_006,good
output_000415,task_006,good
output_000416,task_006,good
output_000417,task_006,good
output_000418,task_006,good
output_000419,task_006,good
output_000420,task_006,good
output_000421,task_006,good
output_000422,task_006,good
output_000423,task_006,good
output_000424,task_006,good
output_000425,task_006,good
output_000426,task_006,good
output_000427,task_006,good
output_000428,task_006,good
output_000429,task_006,good
output_000430,task_006,good
output_000431,task_006,good
output_000432,task_006,excellent
output_000433,task_006,excellent
output_000434,task_006,excellent
output_000435,task_006,excellent
output_000436,task_006,excellent
output_000437,task_006,excellent
output_000438,task_006,excellent
output_000439,task_006,excellent
output_000440,task_006,excellent
output_000441,task_006,excellent
output_000442,task_006,excellent
output_000443,task_006,excellent
output_000444,task_006,excellent
output_000445,task_006,excellent
output_000446,task_006,excellent
output_000447,task_006,excellent
output_000448,task_006,excellent
output_000449,task_006,excellent
output_000450,task_006,excellent
output_000451,task_006,excellent
output_000452,task_006,excellent
output_000453,task_006,excellent
output_000454,task_006,excellent
output_000455,task_006,excellent
output_000456,task_006,excellent
output_000457,task_007,intermediate
output_000458,task_007,intermediate
output_000459,task_007,intermediate
output_000460,task_007,intermediate
output_000461,task_007,intermediate
output_000462,task_007,intermediate
output_000463,task_007,intermediate
output_000464,task_007,intermediate
output_000465,task_007,intermediate
output_000466,task_007,intermediate
output_000467,task_007,intermediate
output_000468,task_007,intermediate
output_000469,task_007,intermediate
output_000470,task_007,intermediate
output_000471,task_007,intermediate
output_000472,task_007,intermediate
output_000473,task_007,intermediate
output_000474,task_007,intermediate
output_000475,task_007,intermediate
output_000476,task_007,intermediate
output_000477,task_007,intermediate
output_000478,task_007,intermediate
output_000479,task_007,intermediate
output_000480,task_007,good
output_000481,task_007,good
output_000482,task_007,good
output_000483,task_007,good
output_000484,task_007,good
output_000485,task_007,good
output_000486,task_007,good
output_000487,task_007,good
output_000488,task_007,good
output_000489,task_007,good
output_000490,task_007,good
output_000491,task_007,good
output_000492,task_007,good
output_000493,task_007,good
output_000494,task_007,good
output_000495,task_007,good
output_000496,task_007,good
output_000497,task_007,good
output_000498,task_007,good
output_000499,task_007,good
output_000500,task_007,good
output_000501,task_007,good
output_000502,task_007,excellent
output_000503,task_007,excellent
output_000504,task_007,excellent
output_000505,task_007,excellent
output_000506,task_007,excellent
output_000507,task_007,excellent
output_000508,task_007,excellent
output_000509,task_007,excellent
output_000510,task_007,excellent
output_000511,task_007,excellent
output_000512,task_007,excellent
output_000513,task_007,excellent
output_000514,task_007,excellent
output_000515,task_007,excellent
output_000516,task_007,excellent
output_000517,task_007,excellent
output_000518,task_007,excellent
output_000519,task_007,excellent
output_000520,task_007,excellent
output_000521,task_007,excellent
output_000522,task_007,excellent
output_000523,task_007,excellent
output_000524,task_007,excellent
output_000525,task_008,intermediate
output_000526,task_008,intermediate
output_000527,task_008,intermediate
output_000528,task_008,intermediate
output_000529,task_008,intermediate
output_000530,task_008,intermediate
output_000531,task_008,intermediate
output_000532,task_008,intermediate
output_000533,task_008,intermediate
output_000534,task_008,intermediate
output_000535,task_008,intermediate
output_000536,task_008,intermediate
output_000537,task_008,intermediate
output_000538,task_008,intermediate
output_000539,task_008,intermediate
output_000540,task_008,intermediate
output_000541,task_008,intermediate
output_000542,task_008,intermediate
output_000543,task_008,intermediate
output_000544,task_008,intermediate
output_000545,task_008,intermediate
output_000546,task_008,intermediate
output_000547,task_008,intermediate
output_000548,task_008,intermediate
output_000549,task_008,intermediate
output_000550,task_008,intermediate
output_000551,task_008,intermediate
output_000552,task_008,intermediate
output_000553,task_008,intermediate
output_000554,task_008,intermediate
output_000555,task_008,intermediate
output_000556,task_008,intermediate
output_000557,task_008,good
output_000558,task_008,good
output_000559,task_008,good
output_000560,task_008,good
output_000561,task_008,good
output_000562,task_008,good
output_000563,task_008,good
output_000564,task_008,good
output_000565,task_008,good
output_000566,task_008,good
output_000567,task_008,good
output_000568,task_008,good
output_000569,task_008,good
output_000570,task_008,good
output_000571,task_008,good
output_000572,task_008,good
output_000573,task_008,good
output_000574,task_008,good
output_000575,task_008,good
output_000576,task_008,good
output_000577,task_008,good
output_000578,task_008,good
output_000579,task_008,good
output_000580,task_008,good
output_000581,task_008,good
output_000582,task_008,good
output_000583,task_008,good
output_000584,task_008,excellent
output_000585,task_008,excellent
output_000586,task_008,excellent
output_000587,task_008,excellent
output_000588,task_008,excellent
output_000589,task_008,excellent
output_000590,task_008,excellent
output_000591,task_008,excellent
output_000592,task_008,excellent
output_000593,task_008,excellent
output_000594,task_008,excellent
output_000595,task_008,excellent
output_000596,task_008,excellent
output_000597,task_008,excellent
output_000598,task_008,excellent
output_000599,task_008,excellent
output_000600,task_008,excellent
output_000601,task_008,excellent
output_000602,task_008,excellent
output_000603,task_008,excellent
output_000604,task_008,excellent
output_000605,task_008,excellent
output_000606,task_008,excellent
output_000607,task_008,excellent
output_000608,task_008,excellent
output_000609,task_008,excellent
output_000610,task_008,excellent
output_000611,task_008,excellent
output_000612,task_008,excellent
output_000613,task_009,intermediate
output_000614,task_009,intermediate
output_000615,task_009,intermediate
output_000616,task_009,intermediate
output_000617,task_009,intermediate
output_000618,task_009,intermediate
output_000619,task_009,intermediate
output_000620,task_009,intermediate
output_000621,task_009,intermediate
output_000622,task_009,intermediate
output_000623,task_009,intermediate
output_000624,task_009,intermediate
output_000625,task_009,intermediate
output_000626,task_009,intermediate
output_000627,task_009,intermediate
output_000628,task_009,intermediate
output_000629,task_009,intermediate
output_000630,task_009,intermediate
output_000631,task_009,intermediate
output_000632,task_009,intermediate
output_000633,task_009,intermediate
output_000634,task_009,intermediate
output_000635,task_009,intermediate
output_000636,task_009,intermediate
output_000637,task_009,intermediate
output_000638,task_009,intermediate
output_000639,task_009,intermediate
output_000640,task_009,intermediate
output_000641,task_009,intermediate
output_000642,task_009,intermediate
output_000643,task_009,intermediate
output_000644,task_009,good
output_000645,task_009,good
output_000646,task_009,good
output_000647,task_009,good
output_000648,task_009,good
output_000649,task_009,good
output_000650,task_009,good
output_000651,task_009,good
output_000652,task_009,good
output_000653,task_009,good
output_000654,task_009,good
output_000655,task_009,good
output_000656,task_009,good
output_000657,task_009,good
output_000658,task_009,good
output_000659,task_009,good
output_000660,task_009,good
output_000661,task_009,good
output_000662,task_009,good
output_000663,task_009,good
output_000664,task_009,good
output_000665,task_009,good
output_000666,task_009,good
output_000667,task_009,good
output_000668,task_009,good
output_000669,task_009,good
output_000670,task_009,good
output_000671,task_009,good
output_000672,task_009,excellent
output_000673,task_009,excellent
output_000674,task_009,excellent
output_000675,task_009,excellent
output_000676,task_009,excellent
output_000677,task_009,excellent
output_000678,task_009,excellent
output_000679,task_009,excellent
output_000680,task_009,excellent
output_000681,task_009,excellent
output_000682,task_009,excellent
output_000683,task_009,excellent
output_000684,task_009,excellent
output_000685,task_009,excellent
output_000686,task_009,excellent
output_000687,task_009,excellent
output_000688,task_009,excellent
output_000689,task_009,excellent
output_000690,task_009,excellent
output_000691,task_009,excellent
output_000692,task_009,excellent
output_000693,task_009,excellent
output_000694,task_009,excellent
output_000695,task_009,excellent
output_000696,task_009,excellent
output_000697,task_009,excellent
output_000698,task_009,excellent
output_000699,task_010,intermediate
output_000700,task_010,intermediate
output_000701,task_010,intermediate
output_000702,task_010,intermediate
output_000703,task_010,intermediate
output_000704,task_010,intermediate
output_000705,task_010,intermediate
output_000706,task_010,intermediate
output_000707,task_010,intermediate
output_000708,task_010,intermediate
output_000709,task_010,intermediate
output_000710,task_010,intermediate
output_000711,task_010,intermediate
output_000712,task_010,intermediate
output_000713,task_010,intermediate
output_000714,task_010,intermediate
output_000715,task_010,intermediate
output_000716,task_010,intermediate
output_000717,task_010,intermediate
output_000718,task_010,intermediate
output_000719,task_010,intermediate
output_000720,task_010,intermediate
output_000721,task_010,intermediate
output_000722,task_010,intermediate
output_000723,task_010,good
output_000724,task_010,good
output_000725,task_010,good
output_000726,task_010,good
output_000727,task_010,good
output_000728,task_010,good
output_000729,task_010,good
output_000730,task_010,good
output_000731,task_010,good
output_000732,task_010,good
output_000733,task_010,good
output_000734,task_010,good
output_000735,task_010,good
output_000736,task_010,good
output_000737,task_010,good
output_000738,task_010,good
output_000739,task_010,good
output_000740,task_010,good
output_000741,task_010,good
output_000742,task_010,good
output_000743,task_010,good
output_000744,task_010,good
output_000745,task_010,good
output_000746,task_010,excellent
output_000747,task_010,excellent
output_000748,task_010,excellent
output_000749,task_010,excellent
output_000750,task_010,excellent
output_000751,task_010,excellent
output_000752,task_010,excellent
output_000753,task_010,excellent
output_000754,task_010,excellent
output_000755,task_010,excellent
output_000756,task_010,excellent
output_000757,task_010,excellent
output_000758,task_010,excellent
output_000759,task_010,excellent
output_000760,task_010,excellent
output_000761,task_010,excellent
output_000762,task_010,excellent
output_000763,task_010,excellent
output_000764,task_010,excellent
output_000765,task_010,excellent
output_000766,task_010,excellent
output_000767,task_010,excellent
output_000768,task_010,excellent
output_000769,task_010,excellent
output_000770,task_010,excellent
output_000771,task_010,excellent
output_000772,task_010,excellent
output_000773,task_010,excellent
output_000774,task_010,excellent
output_000775,task_011,intermediate
output_000776,task_011,intermediate
output_000777,task_011,intermediate
output_000778,task_011,intermediate
output_000779,task_011,intermediate
output_000780,task_011,intermediate
output_000781,task_011,intermediate
output_000782,task_011,intermediate
output_000783,task_011,intermediate
output_000784,task_011,intermediate
output_000785,task_011,intermediate
output_000786,task_011,intermediate
output_000787,task_011,intermediate
output_000788,task_011,intermediate
output_000789,task_011,intermediate
output_000790,task_011,intermediate
output_000791,task_011,intermediate
output_000792,task_011,intermediate
output_000793,task_011,intermediate
output_000794,task_011,intermediate
output_000795,task_011,intermediate
output_000796,task_011,intermediate
output_000797,task_011,intermediate
output_000798,task_011,intermediate
output_000799,task_011,intermediate
output_000800,task_011,intermediate
output_000801,task_011,intermediate
output_000802,task_011,good
output_000803,task_011,good
output_000804,task_011,good
output_000805,task_011,good
output_000806,task_011,good
output_000807,task_011,good
output_000808,task_011,good
output_000809,task_011,good
output_000810,task_011,good
output_000811,task_011,good
output_000812,task_011,good
output_000813,task_011,good
output_000814,task_011,good
output_000815,task_011,good
output_000816,task_011,good
output_000817,task_011,good
output_000818,task_011,good
output_000819,task_011,good
output_000820,task_011,good
output_000821,task_011,good
output_000822,task_011,good
output_000823,task_011,good
output_000824,task_011,good
output_000825,task_011,good
output_000826,task_011,good
output_000827,task_011,good
output_000828,task_011,good
output_000829,task_011,excellent
output_000830,task_011,excellent
output_000831,task_011,excellent
output_000832,task_011,excellent
output_000833,task_011,excellent
output_000834,task_011,excellent
output_000835,task_011,excellent
output_000836,task_011,excellent
output_000837,task_011,excellent
output_000838,task_011,excellent
output_000839,task_011,excellent
output_000840,task_011,excellent
output_000841,task_011,excellent
output_000842,task_011,excellent
output_000843,task_011,excellent
output_000844,task_011,excellent
output_000845,task_011,excellent
output_000846,task_011,excellent
output_000847,task_011,excellent
output_000848,task_011,excellent
output_000849,task_011,excellent
output_000850,task_011,excellent
output_000851,task_011,excellent
output_000852,task_012,intermediate
output_000853,task_012,intermediate
output_000854,task_012,intermediate
output_000855,task_012,intermediate
output_000856,task_012,intermediate
output_000857,task_012,intermediate
output_000858,task_012,intermediate
output_000859,task_012,intermediate
output_000860,task_012,intermediate
output_000861,task_012,intermediate
output_000862,task_012,intermediate
output_000863,task_012,intermediate
output_000864,task_012,intermediate
output_000865,task_012,intermediate
output_000866,task_012,intermediate
output_000867,task_012,intermediate
output_000868,task_012,intermediate
output_000869,task_012,intermediate
output_000870,task_012,intermediate
output_000871,task_012,intermediate
output_000872,task_012,intermediate
output_000873,task_012,intermediate
output_000874,task_012,intermediate
output_000875,task_012,intermediate
output_000876,task_012,intermediate
output_000877,task_012,good
output_000878,task_012,good
output_000879,task_012,good
output_000880,task_012,good
output_000881,task_012,good
output_000882,task_012,good
output_000883,task_012,good
output_000884,task_012,good
output_000885,task_012,good
output_000886,task_012,good
output_000887,task_012,good
output_000888,task_012,good
output_000889,task_012,good
output_000890,task_012,good
output_000891,task_012,good
output_000892,task_012,good
output_000893,task_012,good
output_000894,task_012,good
output_000895,task_012,good
output_000896,task_012,good
output_000897,task_012,good
output_000898,task_012,good
output_000899,task_012,good
output_000900,task_012,good
output_000901,task_012,good
output_000902,task_012,good
output_000903,task_012,good
output_000904,task_012,good
output_000905,task_012,good
output_000906,task_012,good
output_000907,task_012,excellent
output_000908,task_012,excellent
output_000909,task_012,excellent
output_000910,task_012,excellent
output_000911,task_012,excellent
output_000912,task_012,excellent
output_000913,task_012,excellent
output_000914,task_012,excellent
output_000915,task_012,excellent
output_000916,task_012,excellent
output_000917,task_012,excellent
output_000918,task_012,excellent
output_000919,task_012,excellent
output_000920,task_012,excellent
output_000921,task_012,excellent
output_000922,task_012,excellent
output_000923,task_012,excellent
output_000924,task_012,excellent
output_000925,task_012,excellent
output_000926,task_012,excellent
output_000927,task_012,excellent
output_000928,task_012,excellent
output_000929,task_012,excellent
output_000930,task_012,excellent
output_000931,task_012,excellent
output_000932,task_012,excellent
output_000933,task_012,excellent
output_000934,task_013,intermediate
output_000935,task_013,intermediate
output_000936,task_013,intermediate
output_000937,task_013,intermediate
output_000938,task_013,intermediate
output_000939,task_013,intermediate
output_000940,task_013,intermediate
output_000941,task_013,intermediate
output_000942,task_013,intermediate
output_000943,task_013,intermediate
output_000944,task_013,intermediate
output_000945,task_013,intermediate
output_000946,task_013,intermediate
output_000947,task_013,intermediate
output_000948,task_013,intermediate
output_000949,task_013,intermediate
output_000950,task_013,intermediate
output_000951,task_013,intermediate
output_000952,task_013,intermediate
output_000953,task_013,intermediate
output_000954,task_013,intermediate
output_000955,task_013,good
output_000956,task_013,good
output_000957,task_013,good
output_000958,task_013,good
output_000959,task_013,good
output_000960,task_013,good
output_000961,task_013,good
output_000962,task_013,good
output_000963,task_013,good
output_000964,task_013,good
output_000965,task_013,good
output_000966,task_013,good
output_000967,task_013,good
output_000968,task_013,good
output_000969,task_013,good
output_000970,task_013,good
output_000971,task_013,good
output_000972,task_013,good
output_000973,task_013,good
output_000974,task_013,good
output_000975,task_013,good
output_000976,task_013,good
output_000977,task_013,good
output_000978,task_013,good
output_000979,task_013,excellent
output_000980,task_013,excellent
output_000981,task_013,excellent
output_000982,task_013,excellent
output_000983,task_013,excellent
output_000984,task_013,excellent
output_000985,task_013,excellent
output_000986,task_013,excellent
output_000987,task_013,excellent
output_000988,task_013,excellent
output_000989,task_013,excellent
output_000990,task_013,excellent
output_000991,task_013,excellent
output_000992,task_013,excellent
output_000993,task_013,excellent
output_000994,task_013,excellent
output_000995,task_013,excellent
output_000996,task_013,excellent
output_000997,task_013,excellent
output_000998,task_013,excellent
output_000999,task_013,excellent
output_001000,task_013,excellent
output_001001,task_013,excellent
output_001002,task_013,excellent
output_001003,task_013,excellent
output_001004,task_014,intermediate
output_001005,task_014,intermediate
output_001006,task_014,intermediate
output_001007,task_014,intermediate
output_001008,task_014,intermediate
output_001009,task_014,intermediate
output_001010,task_014,intermediate
output_001011,task_014,intermediate
output_001012,task_014,intermediate
output_001013,task_014,intermediate
output_001014,task_014,intermediate
output_001015,task_014,intermediate
output_001016,task_014,intermediate
output_001017,task_014,intermediate
output_001018,task_014,intermediate
output_001019,task_014,intermediate
output_001020,task_014,intermediate
output_001021,task_014,intermediate
output_001022,task_014,intermediate
output_001023,task_014,intermediate
output_001024,task_014,intermediate
output_001025,task_014,intermediate
output_001026,task_014,intermediate
output_001027,task_014,intermediate
output_001028,task_014,intermediate
output_001029,task_014,intermediate
output_001030,task_014,intermediate
output_001031,task_014,good
output_001032,task_014,good
output_001033,task_014,good
output_001034,task_014,good
output_001035,task_014,good
output_001036,task_014,good
output_001037,task_014,good
output_001038,task_014,good
output_001039,task_014,good
output_001040,task_014,good
output_001041,task_014,good
output_001042,task_014,good
output_001043,task_014,good
output_001044,task_014,good
output_001045,task_014,good
output_001046,task_014,good
output_001047,task_014,good
output_001048,task_014,good
output_001049,task_014,good
output_001050,task_014,good
output_001051,task_014,good
output_001052,task_014,good
output_001053,task_014,excellent
output_001054,task_014,excellent
output_001055,task_014,excellent
output_001056,task_014,excellent
output_001057,task_014,excellent
output_001058,task_014,excellent
output_001059,task_014,excellent
output_001060,task_014,excellent
output_001061,task_014,excellent
output_001062,task_014,excellent
output_001063,task_014,excellent
output_001064,task_014,excellent
output_001065,task_014,excellent
output_001066,task_014,excellent
output_001067,task_014,excellent
output_001068,task_014,excellent
output_001069,task_014,excellent
output_001070,task_014,excellent
output_001071,task_014,excellent
output_001072,task_014,excellent
output_001073,task_014,excellent
output_001074,task_014,excellent
output_001075,task_014,excellent
output_001076,task_014,excellent
output_001077,task_014,excellent
output_001078,task_014,excellent
output_001079,task_015,intermediate
output_001080,task_015,intermediate
output_001081,task_015,intermediate
output_001082,task_015,intermediate
output_001083,task_015,intermediate
output_001084,task_015,intermediate
output_001085,task_015,intermediate
output_001086,task_015,intermediate
output_001087,task_015,intermediate
output_001088,task_015,intermediate
output_001089,task_015,intermediate
output_001090,task_015,intermediate
output_001091,task_015,intermediate
output_001092,task_015,intermediate
output_001093,task_015,intermediate
output_001094,task_015,intermediate
output_001095,task_015,intermediate
output_001096,task_015,intermediate
output_001097,task_015,intermediate
output_001098,task_015,intermediate
output_001099,task_015,good
output_001100,task_015,good
